customer_id,age,gender,marital_status,education_level,employment_status,region,customer_tenure_years,annual_income,employment_years,savings_balance,monthly_expenses,existing_loans,num_delinquencies,recent_credit_inquiries,loan_amount,credit_score,debt_to_income_ratio,kyc_verified,document_match_score,face_match_score,liveness_score,device_trust_score,transaction_velocity,avg_txn_amount,cash_out_ratio,account_age_months,geo_risk_score,rule_engine_hits,fraud_probability_true,fraud_label
C000047,73,Male,Single,Bachelor,Self-employed,West,5.2,150000.0,5.2,19433.0,10572.0,2,1,1,78951.0,649.0,0.487,1,0.923,0.905,0.901,0.857,3.89,3055.0,0.969,43.0,0.18,2,0.3785,0
C000048,60,Female,Married,Associate,Salaried,Central,2.7,150000.0,2.7,25627.0,7957.0,4,0,2,28837.0,693.0,0.156,1,0.97,1.0,0.721,0.955,5.23,3718.0,0.511,13.0,0.473,0,0.102,0
C000049,66,Female,Married,High School,Salaried,South,9.3,150000.0,5.0,21878.0,5096.0,1,0,1,19259.0,745.0,0.09,1,0.879,0.974,1.0,0.625,5.41,680.0,0.328,40.0,0.0,0,0.0258,0
C000050,65,Female,Married,High School,Contract,East,2.5,150000.0,2.5,16375.0,8159.0,3,0,0,9125.0,746.0,0.075,1,0.859,0.947,0.891,0.714,0.87,2563.0,0.823,10.0,0.216,0,0.0107,0
C000051,30,Female,Married,Bachelor,Salaried,Central,7.4,150000.0,4.0,95118.0,9600.0,3,4,2,26325.0,628.0,0.169,1,0.898,0.891,0.952,0.861,2.37,1982.0,0.641,52.0,0.186,1,0.8381,1
C000052,40,Female,Married,Bachelor,Contract,South,8.3,150000.0,7.0,10923.0,11520.0,2,2,3,45149.0,615.0,0.271,1,1.0,0.914,1.0,0.885,10.37,2254.0,0.117,25.0,0.103,1,0.6668,1
C000053,46,Female,Married,Bachelor,Salaried,South,3.0,150000.0,3.0,33622.0,5000.0,0,0,3,11625.0,772.0,0.109,1,0.898,0.744,0.83,0.837,6.54,659.0,0.379,118.0,0.0,0,0.0434,0
C000054,48,Female,Married,Bachelor,Salaried,North,4.7,150000.0,4.7,17014.0,7217.0,0,1,2,32257.0,680.0,0.196,1,0.735,0.985,0.978,0.74,2.94,1999.0,0.923,29.0,0.405,1,0.2731,0
C000055,20,Female,Single,Bachelor,Self-employed,Central,5.3,150000.0,2.0,26093.0,8500.0,5,0,0,21930.0,773.0,0.158,1,0.995,1.0,0.931,0.696,20.89,1224.0,0.363,32.0,0.54,0,0.0267,0
C000056,51,Female,Married,Bachelor,Self-employed,South,2.2,167150.0,2.2,10756.0,12911.0,0,0,1,15456.0,759.0,0.154,1,0.896,0.92,0.945,0.84,7.68,2666.0,0.418,50.0,0.429,0,0.0073,0
C000057,27,Female,Married,Associate,Salaried,West,6.4,150000.0,6.4,24769.0,6449.0,3,0,6,34389.0,692.0,0.219,1,1.0,1.0,0.902,0.933,28.1,2809.0,0.678,110.0,0.349,1,0.3803,0
C000058,64,Female,Married,Bachelor,Salaried,East,16.4,150000.0,10.0,12103.0,11279.0,4,0,0,10137.0,785.0,0.037,1,0.871,0.93,0.967,0.846,2.35,2508.0,0.584,50.0,0.243,0,0.0042,0
C000059,60,Male,Single,Associate,Salaried,North,8.2,150000.0,4.0,7368.0,8987.0,3,0,5,56250.0,675.0,0.365,1,0.972,1.0,0.937,0.818,2.54,987.0,0.247,110.0,0.729,1,0.534,1
C000060,75,Male,Single,High School,Salaried,Central,3.9,150000.0,3.9,139656.0,9943.0,4,3,1,10011.0,626.0,0.097,1,0.934,0.961,0.994,0.852,5.38,3155.0,0.476,80.0,0.215,1,0.6503,1
C000061,64,Female,Single,Master,Self-employed,South,8.2,150000.0,3.0,14405.0,9872.0,5,0,1,42032.0,751.0,0.272,1,0.908,0.93,0.968,0.789,5.25,5148.0,0.58,156.0,0.25,0,0.0285,0
C000062,40,Female,Married,Master,Salaried,South,1.5,150000.0,1.5,79186.0,7535.0,5,0,0,27933.0,761.0,0.174,1,0.831,0.967,0.938,0.736,6.0,1841.0,0.673,51.0,0.486,0,0.0156,0
C000063,77,Male,Single,Master,Salaried,East,2.9,150000.0,2.9,21470.0,10715.0,5,2,5,89783.0,576.0,0.551,0,0.523,0.586,0.475,0.643,1.3,5464.0,0.004,107.0,0.605,3,0.9939,1
C000064,43,Female,Married,Associate,Salaried,East,3.7,150000.0,3.7,18404.0,10748.0,0,0,1,17883.0,782.0,0.108,1,0.835,0.805,0.912,0.897,0.84,2492.0,0.422,176.0,0.278,0,0.0086,0
C000065,38,Female,Divorced,Master,Self-employed,Central,14.7,150000.0,10.0,259329.0,5000.0,0,0,1,43523.0,732.0,0.252,1,0.831,0.817,0.871,0.698,8.39,4292.0,0.502,86.0,0.0,0,0.0497,0
C000066,74,Female,Single,Associate,Contract,East,4.3,150000.0,4.3,34435.0,11803.0,4,0,2,6712.0,715.0,0.055,1,0.823,0.993,0.962,0.693,3.2,5070.0,0.554,91.0,0.678,0,0.0368,0
C000067,40,Female,Married,Associate,Salaried,West,5.7,150000.0,5.7,3597.0,8250.0,5,0,2,13288.0,768.0,0.12,1,0.94,0.938,0.96,0.719,4.6,2359.0,0.331,17.0,0.351,0,0.0143,0
C000068,22,Male,Single,Associate,Unemployed,South,1.4,150000.0,1.4,24796.0,7901.0,5,0,0,26279.0,779.0,0.107,1,0.847,0.971,0.758,0.718,9.3,1200.0,0.16,44.0,0.172,0,0.0144,0
C000069,47,Male,Married,Bachelor,Salaried,Central,12.5,150000.0,8.0,217062.0,10625.0,1,0,0,36445.0,748.0,0.233,1,0.935,0.961,1.0,0.933,4.31,2727.0,0.866,17.0,0.399,0,0.021,0
C000070,67,Male,Single,Associate,Self-employed,Central,4.4,150000.0,2.0,29281.0,10935.0,2,0,3,28292.0,675.0,0.19,1,1.0,0.887,0.914,0.801,1.96,3145.0,0.138,100.0,0.415,0,0.1273,0
C000071,29,Female,Married,High School,Unemployed,South,2.5,150000.0,2.5,23416.0,5584.0,2,0,0,59553.0,746.0,0.365,1,0.847,0.893,0.914,1.0,4.46,1298.0,0.52,5.0,0.568,0,0.0135,0
C000072,46,Male,Single,Associate,Unemployed,West,2.6,150000.0,2.6,15344.0,5436.0,4,1,0,21618.0,738.0,0.111,1,0.89,0.813,0.981,0.925,10.7,5245.0,0.593,32.0,0.298,1,0.0288,0
C000073,26,Female,Divorced,Bachelor,Salaried,North,6.7,150000.0,3.0,29236.0,5307.0,2,0,2,19401.0,787.0,0.147,1,0.974,0.987,0.967,0.736,4.9,4939.0,0.642,68.0,0.281,0,0.0279,0
C000074,60,Female,Single,Associate,Self-employed,South,0.6,150000.0,0.6,1309.0,9331.0,5,0,0,62910.0,691.0,0.348,1,0.85,0.877,1.0,0.782,2.44,1834.0,0.94,89.0,0.069,0,0.032,0
C000075,47,Female,Married,Bachelor,Salaried,East,8.2,252575.0,6.0,26679.0,15885.0,4,0,1,9086.0,746.0,0.03,1,1.0,0.825,0.871,0.675,12.29,793.0,0.566,29.0,0.302,0,0.0444,0
C000076,38,Female,Single,High School,Salaried,East,1.5,150000.0,1.5,30792.0,10197.0,5,0,1,15349.0,779.0,0.125,1,0.765,0.892,0.952,0.802,0.19,3033.0,0.996,86.0,0.0,0,0.0081,0
C000077,32,Female,Single,Bachelor,Self-employed,South,4.4,150000.0,4.4,12150.0,5964.0,2,0,1,24226.0,751.0,0.176,1,1.0,0.938,0.848,0.753,10.1,4213.0,0.969,42.0,0.263,0,0.0084,0
C000078,52,Female,Married,Associate,Unemployed,South,3.9,150000.0,2.0,40903.0,9282.0,4,0,2,44796.0,739.0,0.239,1,0.997,0.905,0.996,0.803,0.97,500.0,0.388,29.0,0.0,0,0.0666,0
C000079,59,Male,Single,Associate,Contract,North,2.5,150000.0,2.5,8990.0,11776.0,4,0,1,30030.0,739.0,0.181,1,0.816,0.919,0.979,0.823,11.27,1411.0,0.851,22.0,0.269,0,0.0317,0
C000080,76,Male,Married,Associate,Salaried,Central,15.6,150000.0,6.0,21984.0,8399.0,4,4,0,6552.0,578.0,0.127,1,0.964,0.975,0.924,0.787,4.25,1946.0,0.479,34.0,0.087,1,0.8089,1
C000081,45,Female,Married,Associate,Salaried,Central,11.8,150000.0,11.8,156096.0,9610.0,2,0,6,28472.0,709.0,0.107,1,0.93,1.0,0.924,0.829,7.26,2713.0,0.461,87.0,0.247,1,0.2493,0
C000082,27,Male,Married,Master,Self-employed,Central,22.6,150000.0,2.0,69153.0,10792.0,0,0,4,33340.0,743.0,0.197,1,0.775,0.982,0.82,0.772,0.57,2579.0,0.54,58.0,0.13,1,0.1486,0
C000083,69,Female,Single,Associate,Salaried,South,5.6,150000.0,5.6,101054.0,9936.0,5,0,4,48568.0,742.0,0.347,1,0.966,0.963,1.0,0.766,2.53,2874.0,0.65,81.0,0.4,1,0.2056,0
C000084,57,Male,Divorced,Master,Self-employed,West,3.5,150000.0,3.5,14117.0,6129.0,1,0,3,36789.0,744.0,0.179,1,0.971,0.847,0.877,0.766,9.89,766.0,0.951,41.0,0.251,0,0.0468,0
C000085,61,Female,Married,Associate,Salaried,West,2.5,150000.0,2.5,62845.0,10252.0,4,1,4,32570.0,688.0,0.275,1,0.891,0.996,0.904,0.886,3.33,1027.0,0.196,127.0,0.339,2,0.5094,1
C000086,24,Male,Married,High School,Salaried,North,3.5,150000.0,3.5,95002.0,7889.0,2,2,5,5000.0,638.0,0.08,1,0.976,1.0,1.0,0.989,13.72,24401.0,0.306,24.0,0.014,2,0.8402,1
C000087,37,Female,Married,High School,Salaried,East,4.7,150000.0,2.0,27199.0,10760.0,1,0,4,21971.0,738.0,0.139,1,0.852,0.97,0.971,1.0,3.55,1804.0,0.77,147.0,0.067,1,0.0246,0
C000088,65,Male,Married,Associate,Salaried,East,9.0,150000.0,8.0,71311.0,10882.0,3,0,3,5748.0,728.0,0.01,1,0.971,0.778,0.931,0.904,1.99,8975.0,0.078,122.0,0.043,0,0.025,0
C000089,69,Female,Married,Master,Contract,North,3.1,150000.0,3.1,96032.0,10385.0,4,0,1,20391.0,764.0,0.13,1,0.787,0.909,1.0,0.733,11.49,1546.0,0.473,52.0,0.442,0,0.0146,0
C000090,44,Male,Single,Bachelor,Self-employed,South,3.5,150000.0,3.5,11010.0,5814.0,3,0,5,11949.0,742.0,0.064,1,0.88,0.919,1.0,0.873,1.03,1049.0,0.99,41.0,0.462,1,0.1813,0
C000091,67,Female,Married,Bachelor,Salaried,West,3.1,150000.0,3.1,22312.0,7950.0,4,1,5,14604.0,645.0,0.093,1,0.888,0.926,0.988,0.869,3.28,1537.0,0.204,33.0,0.257,2,0.4071,0
C000092,70,Male,Married,Bachelor,Salaried,Central,1.2,150000.0,1.2,66946.0,10827.0,1,0,3,27977.0,694.0,0.214,1,0.873,0.86,0.822,0.894,10.73,2890.0,0.831,27.0,0.224,0,0.0935,0
C000093,42,Female,Married,Associate,Self-employed,South,4.5,150000.0,4.5,11417.0,9047.0,0,0,1,18449.0,785.0,0.119,1,0.929,0.896,0.913,0.915,2.17,2252.0,0.451,59.0,0.286,0,0.0134,0
C000094,73,Female,Married,Bachelor,Salaried,Central,0.5,150000.0,0.5,36199.0,8777.0,2,0,2,12386.0,734.0,0.144,1,0.941,0.926,0.946,0.833,2.41,1203.0,0.082,26.0,0.229,0,0.0609,0
C000095,35,Female,Single,Bachelor,Self-employed,Central,2.0,150000.0,2.0,42776.0,7043.0,5,1,1,5000.0,762.0,0.057,1,0.926,1.0,1.0,0.949,4.04,2395.0,0.61,56.0,0.362,1,0.0291,0
C000096,32,Female,Single,High School,Salaried,South,7.2,150000.0,7.2,16971.0,8618.0,2,0,0,57702.0,729.0,0.344,1,1.0,0.861,0.998,0.654,9.65,1670.0,0.806,139.0,0.389,0,0.1102,0
C000097,60,Female,Single,Bachelor,Salaried,North,4.1,150000.0,4.1,12157.0,5334.0,5,3,2,34608.0,589.0,0.186,1,0.816,0.846,0.877,0.87,2.69,6664.0,0.702,49.0,0.162,1,0.9069,1
C000098,57,Female,Married,Bachelor,Unemployed,East,3.7,150000.0,3.7,72632.0,6947.0,5,0,6,37494.0,734.0,0.226,1,0.853,1.0,0.909,0.799,5.34,1929.0,0.101,89.0,0.418,1,0.1688,0
C000099,26,Male,Married,Associate,Self-employed,South,8.7,150000.0,8.7,98851.0,5652.0,3,1,0,5000.0,736.0,0.025,1,0.936,0.88,0.992,0.607,7.66,500.0,0.931,53.0,0.363,1,0.022,0
C000100,69,Female,Single,Associate,Unemployed,West,4.8,150000.0,4.8,78528.0,10348.0,0,1,0,12231.0,708.0,0.121,1,0.971,0.959,0.848,0.892,0.85,1900.0,0.662,47.0,0.448,1,0.0492,0
C000101,30,Male,Married,Master,Salaried,North,3.5,150000.0,3.5,10701.0,5000.0,2,0,1,23114.0,777.0,0.134,1,0.855,0.952,0.875,0.878,5.72,4165.0,0.401,62.0,0.176,0,0.0198,0
C000102,67,Female,Single,Associate,Contract,South,7.4,150000.0,7.4,16499.0,9087.0,2,0,6,22254.0,708.0,0.134,1,0.955,0.846,0.927,0.817,2.17,1513.0,0.471,42.0,0.0,1,0.2635,0
C000103,18,Male,Married,Associate,Salaried,North,3.2,150000.0,3.2,79425.0,9954.0,0,0,3,23606.0,791.0,0.2,1,0.85,0.8,0.937,0.704,3.18,8594.0,0.502,26.0,0.152,0,0.0302,0
C000104,67,Male,Single,Master,Salaried,North,1.2,193816.0,1.2,21716.0,7538.0,3,0,4,15112.0,713.0,0.113,1,0.896,1.0,1.0,0.648,0.84,1771.0,0.286,16.0,0.557,1,0.0769,0
C000105,66,Female,Single,PhD,Salaried,South,3.3,150000.0,2.0,86237.0,5000.0,3,0,2,55605.0,736.0,0.287,1,0.932,1.0,1.0,0.65,4.41,3760.0,0.37,48.0,0.355,0,0.0151,0
C000106,66,Male,Married,Associate,Salaried,East,4.1,150000.0,1.0,15440.0,10186.0,1,1,4,33963.0,664.0,0.192,1,0.872,0.944,0.991,0.841,17.23,1176.0,0.894,78.0,0.273,2,0.3812,0
C000107,59,Male,Single,Associate,Salaried,Central,8.1,150000.0,7.0,10355.0,9732.0,5,0,6,77331.0,621.0,0.498,1,0.906,0.961,0.956,0.802,2.2,567.0,0.881,49.0,0.504,2,0.7033,1
C000108,47,Male,Married,High School,Self-employed,North,5.4,150000.0,5.0,12471.0,9024.0,2,0,0,30317.0,778.0,0.164,1,0.825,1.0,0.939,0.655,6.58,770.0,0.098,42.0,0.337,0,0.0035,0
C000109,61,Female,Married,Bachelor,Salaried,East,10.4,150000.0,10.4,86905.0,5000.0,5,0,5,44362.0,699.0,0.256,1,0.979,0.9,1.0,0.852,5.56,3339.0,0.6,24.0,0.343,1,0.3688,0
C000110,35,Male,Divorced,Associate,Unemployed,Central,1.4,150000.0,1.4,11456.0,8651.0,0,0,1,7623.0,793.0,0.027,1,0.865,0.928,0.944,0.865,5.57,5732.0,0.886,37.0,0.557,0,0.011,0
C000111,66,Male,Single,Master,Self-employed,Central,24.5,150000.0,3.0,10192.0,10126.0,5,0,2,56719.0,700.0,0.342,1,0.995,1.0,0.932,1.0,4.81,1054.0,0.992,34.0,0.333,0,0.0433,0
C000112,52,Other,Single,Master,Salaried,South,11.1,150000.0,9.0,6360.0,10406.0,0,0,4,8227.0,718.0,0.082,1,0.802,1.0,0.916,0.377,11.03,500.0,0.513,17.0,0.447,1,0.1155,0
C000113,46,Female,Married,High School,Self-employed,West,5.0,150000.0,3.0,13775.0,9381.0,5,1,1,26567.0,656.0,0.134,1,0.884,0.884,0.886,0.563,1.74,853.0,0.253,38.0,0.151,1,0.1826,0
C000114,49,Male,Single,Master,Self-employed,North,2.7,150000.0,2.7,42271.0,8479.0,4,0,3,14744.0,739.0,0.104,1,0.927,0.829,0.873,0.767,11.5,4533.0,0.845,62.0,0.216,0,0.0562,0
C000115,53,Female,Married,Associate,Salaried,West,3.0,150000.0,3.0,15499.0,6875.0,0,0,0,47393.0,717.0,0.329,1,0.792,0.767,0.867,0.856,5.05,3529.0,0.096,25.0,0.523,0,0.0492,0
C000116,20,Male,Married,Associate,Contract,Central,10.4,150000.0,5.0,89026.0,7011.0,3,0,0,16088.0,772.0,0.109,1,0.893,0.946,0.95,0.706,17.09,886.0,0.871,38.0,0.087,0,0.011,0
C000117,26,Female,Single,Master,Salaried,East,4.0,150000.0,4.0,50594.0,8334.0,3,0,2,36230.0,843.0,0.223,1,1.0,0.806,0.916,0.883,2.86,1337.0,0.219,48.0,0.274,0,0.019,0
C000118,33,Male,Divorced,Associate,Salaried,North,3.2,150000.0,3.2,68812.0,7915.0,2,1,5,7448.0,736.0,0.083,1,1.0,1.0,0.989,0.692,18.89,10524.0,0.344,38.0,0.344,2,0.56,1
