age,annual_income,loan_amount,credit_score,credit_history_years,debt_to_income_ratio,num_delinquencies,num_open_accounts,recent_credit_inquiries,savings_balance,employment_years,interest_rate,loan_tenure_months,employment_status,rent_or_own,loan_purpose,region,default
39,76352.0,30722.0,640.0,4.0,0.199,0,10,1,19732.0,9.0,5.71,27.0,Salaried,Rent,Debt consolidation,South,0
29,89751.0,10000.0,707.0,3.0,0.409,0,9,3,8970.0,5.0,10.4,44.0,Salaried,Rent,Home improvement,Central,0
66,21949.0,10000.0,692.0,4.0,0.011,0,12,2,81451.0,9.0,6.36,58.0,Contract,Mortgage,Debt consolidation,Central,0
59,22409.0,28154.0,600.0,9.0,0.139,0,12,4,23422.0,3.0,12.03,29.0,Contract,Own,Home improvement,North,0
52,57421.0,48304.0,841.0,4.0,0.352,0,8,1,11393.0,20.0,11.64,15.0,Salaried,Own,Medical,North,0
40,53706.0,18422.0,663.0,6.0,0.462,0,7,3,46884.0,7.0,8.29,23.0,Salaried,Rent,Debt consolidation,South,0
61,82363.0,110074.0,617.0,6.0,0.275,0,13,3,64567.0,12.0,9.01,24.0,Contract,Own,Medical,North,0
47,60537.0,10000.0,722.0,7.0,0.366,0,9,4,27303.0,10.0,8.18,27.0,Self-employed,Own,Business,East,0
42,82456.0,13227.0,690.0,9.0,0.275,0,12,0,35390.0,11.0,13.53,13.0,Salaried,Mortgage,Other,South,0
43,30180.0,24467.0,645.0,6.0,0.294,1,11,4,49812.0,8.0,12.24,28.0,Unemployed,Rent,Medical,East,1
32,59521.0,31203.0,711.0,1.0,0.092,0,1,2,147485.0,12.0,13.72,30.0,Contract,Rent,Other,North,0
25,28636.0,14215.0,653.0,4.0,0.171,0,6,3,32529.0,9.0,9.43,8.0,Salaried,Rent,Business,North,0
48,74070.0,10000.0,674.0,10.0,0.3,0,6,5,53170.0,4.0,8.13,20.0,Contract,Own,Medical,South,0
64,21310.0,35073.0,771.0,8.0,0.414,0,5,0,89343.0,4.0,9.43,28.0,Salaried,Rent,Home improvement,Central,0
24,72517.0,24341.0,697.0,10.0,0.323,0,6,2,44421.0,14.0,9.78,34.0,Contract,Rent,Medical,East,0
63,26690.0,17010.0,724.0,8.0,0.184,3,11,4,48633.0,4.0,6.61,14.0,Self-employed,Own,Other,South,0
61,48487.0,32020.0,661.0,3.0,0.27,0,3,5,12318.0,8.0,12.74,5.0,Contract,Rent,Other,North,1
34,97950.0,19885.0,698.0,5.0,0.581,0,1,4,9804.0,12.0,11.85,5.0,Salaried,Rent,Other,North,0
51,67850.0,19835.0,648.0,1.0,0.089,0,7,4,18549.0,7.0,13.79,12.0,Salaried,Rent,Medical,Central,0
29,24219.0,19294.0,645.0,11.0,0.117,0,3,0,24460.0,7.0,14.17,49.0,Salaried,Rent,Business,South,0
58,41365.0,11899.0,667.0,10.0,0.127,1,1,1,55046.0,4.0,13.37,4.0,Salaried,Rent,Business,West,0
55,26219.0,11025.0,652.0,9.0,0.393,0,4,5,7541.0,5.0,13.06,19.0,Salaried,Own,Debt consolidation,Central,0
38,23574.0,14850.0,747.0,9.0,0.396,0,4,6,18678.0,4.0,11.2,24.0,Self-employed,Rent,Business,South,0
24,63877.0,22563.0,722.0,5.0,0.196,0,7,1,285014.0,10.0,7.02,62.0,Salaried,Rent,Business,West,0
68,81484.0,10000.0,564.0,18.0,0.219,0,2,5,57717.0,8.0,11.11,14.0,Salaried,Rent,Other,South,0
42,76293.0,44737.0,785.0,10.0,0.259,1,13,0,106836.0,2.0,15.06,21.0,Salaried,Rent,Debt consolidation,South,0
64,83403.0,22333.0,725.0,13.0,0.117,0,5,0,14716.0,2.0,7.98,16.0,Salaried,Rent,Medical,West,0
54,59483.0,10000.0,753.0,11.0,0.159,0,12,4,15237.0,9.0,10.49,21.0,Contract,Rent,Other,Central,0
59,51515.0,74046.0,681.0,1.0,0.048,1,5,5,12324.0,11.0,9.92,24.0,Salaried,Rent,Debt consolidation,North,0
58,33184.0,22728.0,608.0,7.0,0.465,0,6,6,27707.0,8.0,10.27,35.0,Contract,Own,Debt consolidation,North,1
30,47003.0,10000.0,617.0,13.0,0.323,0,13,0,46026.0,2.0,12.57,38.0,Salaried,Rent,Other,South,0
38,28948.0,71596.0,784.0,13.0,0.364,0,8,3,17578.0,9.0,12.36,36.0,Salaried,Rent,Debt consolidation,North,0
43,37615.0,60849.0,600.0,21.0,0.155,4,3,2,14824.0,3.0,12.2,33.0,Salaried,Rent,Medical,Central,1
45,62875.0,11141.0,610.0,3.0,0.462,0,11,2,30243.0,6.0,10.11,7.0,Salaried,Mortgage,Business,South,0
23,56118.0,17288.0,666.0,5.0,0.144,0,7,3,7393.0,11.0,11.61,11.0,Salaried,Mortgage,Education,Central,0
47,323062.0,15628.0,614.0,13.0,0.414,1,11,5,34276.0,15.0,13.51,26.0,Self-employed,Rent,Business,Central,1
28,28561.0,10000.0,719.0,6.0,0.238,1,8,5,37025.0,5.0,15.02,27.0,Salaried,Rent,Debt consolidation,North,0
57,55893.0,28100.0,724.0,6.0,0.293,3,3,2,179017.0,6.0,10.11,20.0,Salaried,Rent,Business,South,1
54,27363.0,41517.0,713.0,10.0,0.07,0,11,3,38197.0,4.0,15.1,13.0,Contract,Rent,Medical,North,0
66,48374.0,36050.0,656.0,2.0,0.126,0,5,4,1184.0,16.0,8.81,12.0,Salaried,Mortgage,Other,North,0
57,49469.0,22574.0,706.0,2.0,0.037,3,12,3,87519.0,2.0,10.95,19.0,Salaried,Mortgage,Business,East,0
38,95290.0,44650.0,788.0,18.0,0.322,0,5,4,81565.0,6.0,12.26,7.0,Salaried,Rent,Medical,Central,0
68,46755.0,10000.0,611.0,3.0,0.077,0,3,0,28917.0,6.0,8.62,59.0,Salaried,Mortgage,Medical,Central,0
41,53894.0,86138.0,751.0,2.0,0.444,0,10,2,53477.0,6.0,11.21,2.0,Self-employed,Rent,Debt consolidation,North,0
36,47256.0,12344.0,734.0,13.0,0.202,3,7,4,53773.0,3.0,12.32,13.0,Self-employed,Rent,Business,North,1
65,27706.0,13417.0,684.0,20.0,0.015,0,8,1,17466.0,8.0,6.59,4.0,Contract,Own,Medical,East,0
39,41829.0,14308.0,699.0,6.0,0.167,0,7,3,85893.0,6.0,9.85,30.0,Salaried,Mortgage,Other,East,0
24,48530.0,13547.0,710.0,5.0,0.698,0,1,0,42176.0,6.0,8.6,15.0,Self-employed,Own,Other,East,0
44,62355.0,19062.0,636.0,11.0,0.238,0,1,3,46151.0,13.0,8.56,17.0,Salaried,Rent,Debt consolidation,North,0
59,81424.0,18516.0,600.0,15.0,0.052,4,8,2,8051.0,16.0,16.63,17.0,Salaried,Own,Other,South,1
30,52626.0,24276.0,740.0,14.0,0.489,0,12,3,15957.0,2.0,6.53,18.0,Self-employed,Rent,Other,East,0
43,52120.0,11920.0,622.0,14.0,0.335,3,2,1,19746.0,6.0,11.1,44.0,Salaried,Own,Debt consolidation,West,1
27,23238.0,24958.0,630.0,18.0,0.233,0,3,1,20876.0,8.0,12.19,20.0,Contract,Rent,Other,North,0
54,80568.0,10000.0,662.0,8.0,0.491,0,10,0,21087.0,8.0,10.52,13.0,Salaried,Rent,Home improvement,Central,0
44,40833.0,38153.0,706.0,1.0,0.092,2,12,1,37417.0,4.0,11.24,6.0,Salaried,Own,Business,Central,0
37,90302.0,37800.0,663.0,10.0,0.498,0,10,0,76255.0,14.0,9.23,7.0,Salaried,Rent,Other,East,0
32,123506.0,21931.0,650.0,5.0,0.137,0,4,4,42007.0,3.0,10.83,11.0,Contract,Own,Home improvement,South,0
48,53995.0,13531.0,742.0,29.0,0.15,2,6,2,51916.0,4.0,11.75,11.0,Salaried,Rent,Debt consolidation,East,0
53,34104.0,27816.0,672.0,5.0,0.123,0,1,0,42621.0,1.0,12.57,37.0,Self-employed,Own,Other,West,0
67,59327.0,11319.0,646.0,8.0,0.274,1,2,4,40506.0,8.0,12.18,52.0,Salaried,Own,Business,North,1
42,72532.0,22605.0,712.0,3.0,0.338,0,13,6,14396.0,6.0,13.15,37.0,Contract,Rent,Education,Central,0
28,50335.0,19656.0,693.0,1.0,0.117,0,8,2,23929.0,13.0,9.35,6.0,Salaried,Own,Business,Central,0
61,43905.0,158329.0,692.0,11.0,0.546,0,7,1,12424.0,3.0,13.82,23.0,Salaried,Rent,Business,Central,0
51,81629.0,10000.0,714.0,7.0,0.444,0,10,4,57576.0,13.0,11.84,80.0,Salaried,Rent,Medical,North,0
55,78721.0,10000.0,682.0,6.0,0.386,0,11,4,117589.0,9.0,10.77,3.0,Contract,Rent,Debt consolidation,South,0
25,49491.0,13654.0,736.0,9.0,0.278,3,8,3,40594.0,2.0,15.95,5.0,Self-employed,Rent,Business,North,1
36,24107.0,10000.0,611.0,8.0,0.633,2,11,2,10723.0,8.0,14.49,27.0,Salaried,Rent,Debt consolidation,West,1
58,76957.0,12772.0,758.0,5.0,0.176,0,2,3,35263.0,7.0,8.36,54.0,Self-employed,Mortgage,Medical,North,0
61,39260.0,10000.0,640.0,7.0,0.268,3,2,1,16044.0,7.0,9.44,9.0,Salaried,Own,Other,West,1
42,67365.0,11177.0,600.0,4.0,0.211,0,6,4,16483.0,14.0,10.63,29.0,Salaried,Own,Medical,North,0
60,65065.0,10000.0,647.0,7.0,0.363,0,7,4,21583.0,11.0,14.06,36.0,Salaried,Rent,Home improvement,West,0
62,21186.0,45352.0,671.0,8.0,0.369,0,7,0,12840.0,8.0,12.38,7.0,Salaried,Mortgage,Business,West,0
39,62605.0,21239.0,650.0,3.0,0.231,1,10,1,25706.0,10.0,12.12,26.0,Self-employed,Own,Medical,East,0
65,79459.0,49345.0,637.0,19.0,0.46,1,6,6,43414.0,5.0,16.64,26.0,Contract,Own,Medical,Central,1
35,85002.0,22705.0,746.0,15.0,0.267,0,5,0,35402.0,5.0,10.0,12.0,Salaried,Mortgage,Debt consolidation,North,0
32,63867.0,44198.0,642.0,10.0,0.219,0,11,2,17890.0,4.0,16.0,29.0,Contract,Mortgage,Debt consolidation,East,0
54,20182.0,17560.0,566.0,17.0,0.331,0,13,2,43590.0,10.0,8.14,41.0,Self-employed,Rent,Home improvement,West,1
52,120861.0,72832.0,671.0,18.0,0.261,0,8,2,100179.0,7.0,9.37,47.0,Contract,Rent,Home improvement,North,0
27,75061.0,31358.0,802.0,6.0,0.353,1,8,1,8486.0,8.0,9.13,47.0,Contract,Rent,Home improvement,West,0
61,30890.0,12273.0,631.0,6.0,0.144,0,2,0,26980.0,9.0,12.63,28.0,Salaried,Own,Education,North,0
30,38822.0,35044.0,641.0,1.0,0.243,0,8,3,32191.0,12.0,10.05,24.0,Contract,Rent,Debt consolidation,Central,0
60,67994.0,22479.0,668.0,13.0,0.717,0,1,4,34827.0,11.0,16.53,4.0,Contract,Rent,Business,East,0
21,87019.0,18923.0,775.0,3.0,0.048,1,3,1,124891.0,11.0,15.0,11.0,Contract,Mortgage,Medical,West,0
60,45781.0,23671.0,670.0,11.0,0.35,0,2,5,11888.0,12.0,10.15,16.0,Salaried,Rent,Other,East,0
59,94281.0,38694.0,634.0,8.0,0.116,0,12,0,18960.0,5.0,13.88,10.0,Salaried,Rent,Debt consolidation,Central,0
59,22337.0,10000.0,710.0,3.0,0.181,0,7,1,57085.0,3.0,12.85,3.0,Self-employed,Own,Medical,North,0
53,33747.0,16929.0,706.0,5.0,0.21,4,10,2,17977.0,5.0,14.66,9.0,Salaried,Rent,Other,East,0
44,19237.0,36754.0,717.0,9.0,0.197,0,3,0,37864.0,7.0,15.01,30.0,Salaried,Rent,Home improvement,Central,0
55,36550.0,26534.0,632.0,5.0,0.298,3,7,1,11043.0,12.0,9.55,14.0,Unemployed,Rent,Medical,East,1
34,137234.0,10000.0,659.0,18.0,0.344,4,7,3,10310.0,3.0,11.88,12.0,Self-employed,Rent,Other,North,1
59,185682.0,10000.0,752.0,9.0,0.418,3,7,6,23885.0,11.0,14.24,18.0,Self-employed,Own,Medical,South,0
48,68120.0,78881.0,712.0,2.0,0.391,1,1,1,87123.0,8.0,16.0,4.0,Self-employed,Rent,Business,East,0
43,42145.0,19143.0,734.0,16.0,0.297,0,11,2,56120.0,5.0,8.9,9.0,Salaried,Rent,Business,Central,0
45,53003.0,68565.0,687.0,6.0,0.125,0,1,1,70619.0,11.0,16.17,8.0,Salaried,Rent,Other,North,0
48,77679.0,39983.0,748.0,10.0,0.256,0,13,6,4232.0,5.0,11.79,33.0,Unemployed,Own,Debt consolidation,Central,0
22,25346.0,12146.0,706.0,2.0,0.136,0,10,4,32989.0,7.0,11.39,10.0,Salaried,Mortgage,Business,East,0
27,43701.0,10000.0,661.0,5.0,0.271,0,6,3,40308.0,1.0,6.64,36.0,Unemployed,Mortgage,Business,North,0
33,131820.0,15574.0,731.0,2.0,0.409,0,4,4,8245.0,9.0,9.84,18.0,Contract,Rent,Education,Central,0
26,33687.0,21420.0,642.0,11.0,0.076,0,5,4,78828.0,15.0,6.77,1.0,Self-employed,Mortgage,Home improvement,West,0
42,39658.0,30884.0,775.0,5.0,0.363,0,5,6,54012.0,6.0,9.06,13.0,Salaried,Own,Medical,North,0
53,60310.0,10000.0,745.0,5.0,0.09,0,7,5,35224.0,1.0,11.47,29.0,Contract,Rent,Debt consolidation,East,0
53,69963.0,25172.0,674.0,16.0,0.419,1,13,1,118489.0,15.0,8.91,2.0,Self-employed,Mortgage,Debt consolidation,North,0
44,42457.0,25166.0,680.0,12.0,0.19,0,1,0,107618.0,5.0,7.02,16.0,Salaried,Rent,Other,South,0
62,62463.0,46141.0,697.0,7.0,0.19,0,8,0,30974.0,9.0,8.93,9.0,Salaried,Rent,Debt consolidation,Central,0
48,83647.0,17499.0,680.0,7.0,0.461,0,9,0,94487.0,5.0,16.82,2.0,Salaried,Rent,Medical,South,0
24,176098.0,30702.0,763.0,19.0,0.488,0,4,2,24292.0,3.0,7.79,7.0,Salaried,Mortgage,Medical,North,0
58,55858.0,27346.0,660.0,4.0,0.172,1,3,2,30995.0,12.0,13.03,14.0,Salaried,Rent,Home improvement,North,0
49,58530.0,42476.0,607.0,4.0,0.44,1,8,1,25214.0,4.0,12.35,16.0,Self-employed,Own,Other,Central,1
52,138704.0,11909.0,676.0,2.0,0.23,1,4,4,82787.0,3.0,9.19,21.0,Salaried,Own,Home improvement,North,0
48,44265.0,10000.0,731.0,9.0,0.268,1,9,3,31364.0,12.0,13.33,22.0,Salaried,Own,Education,North,0
48,28900.0,18441.0,746.0,8.0,0.215,1,1,0,12116.0,7.0,12.65,4.0,Salaried,Rent,Debt consolidation,South,0
25,68709.0,18523.0,696.0,5.0,0.113,0,4,2,94547.0,4.0,14.74,7.0,Salaried,Own,Education,East,0
48,108217.0,10000.0,655.0,3.0,0.133,0,13,0,27277.0,5.0,11.27,11.0,Salaried,Rent,Business,North,0
59,73026.0,10000.0,688.0,17.0,0.522,3,12,2,24962.0,4.0,8.82,12.0,Contract,Own,Business,North,0
35,56763.0,14314.0,654.0,7.0,0.161,0,11,6,7074.0,3.0,11.19,73.0,Self-employed,Rent,Other,Central,0
50,26994.0,20208.0,563.0,7.0,0.44,0,12,3,18610.0,4.0,7.01,28.0,Contract,Own,Business,East,1
22,57983.0,23661.0,643.0,7.0,0.067,0,12,3,31935.0,20.0,10.03,11.0,Contract,Mortgage,Debt consolidation,South,0
38,117976.0,10000.0,718.0,2.0,0.29,0,1,2,120359.0,10.0,9.78,49.0,Salaried,Rent,Debt consolidation,North,0
42,30371.0,10000.0,675.0,13.0,0.21,0,13,2,90318.0,6.0,11.39,33.0,Salaried,Rent,Business,East,0
69,52333.0,51388.0,673.0,8.0,0.474,0,2,0,73057.0,9.0,8.37,23.0,Salaried,Own,Medical,North,0
31,48382.0,19107.0,751.0,12.0,0.279,0,1,0,3703.0,1.0,13.45,36.0,Salaried,Own,Business,South,0
34,40793.0,21986.0,637.0,6.0,0.244,0,10,0,24624.0,2.0,16.52,44.0,Salaried,Own,Other,Central,0
41,68621.0,10000.0,642.0,5.0,0.298,0,6,5,21444.0,6.0,11.48,17.0,Salaried,Rent,Medical,West,1
69,76406.0,21954.0,708.0,12.0,0.434,1,12,3,80483.0,6.0,14.46,29.0,Self-employed,Own,Business,North,0
62,75967.0,16618.0,651.0,6.0,0.341,0,3,3,24742.0,1.0,10.27,24.0,Salaried,Own,Home improvement,South,0
22,34988.0,13851.0,651.0,4.0,0.331,0,12,0,20614.0,15.0,17.92,37.0,Unemployed,Mortgage,Debt consolidation,Central,0
32,24215.0,10000.0,775.0,17.0,0.424,0,11,1,10932.0,7.0,6.29,13.0,Salaried,Rent,Other,Central,0
61,69169.0,11483.0,631.0,15.0,0.398,0,3,4,17759.0,10.0,13.89,31.0,Contract,Mortgage,Medical,North,0
23,45331.0,96666.0,650.0,10.0,0.426,0,8,0,1790.0,7.0,8.1,13.0,Self-employed,Rent,Debt consolidation,South,0
62,164567.0,16948.0,714.0,4.0,0.308,0,13,2,7823.0,14.0,15.03,28.0,Salaried,Rent,Business,Central,0
34,168802.0,39824.0,687.0,7.0,0.224,1,10,0,54634.0,2.0,10.15,11.0,Unemployed,Mortgage,Medical,West,0
65,178953.0,19010.0,614.0,2.0,0.189,0,8,5,47392.0,6.0,14.63,4.0,Salaried,Rent,Medical,North,1
35,35701.0,17429.0,788.0,13.0,0.212,0,5,6,18213.0,25.0,14.09,19.0,Salaried,Rent,Debt consolidation,West,0
42,81892.0,13671.0,646.0,5.0,0.206,0,8,1,17898.0,5.0,9.79,22.0,Contract,Mortgage,Education,North,0
53,96667.0,60429.0,676.0,13.0,0.373,1,6,0,102151.0,3.0,13.02,10.0,Salaried,Mortgage,Other,North,0
27,90862.0,29138.0,714.0,11.0,0.108,1,4,0,98852.0,10.0,11.06,13.0,Unemployed,Own,Medical,South,0
48,49271.0,12183.0,809.0,4.0,0.2,0,13,0,25848.0,3.0,13.45,24.0,Salaried,Rent,Medical,West,0
45,120999.0,16390.0,667.0,7.0,0.359,0,8,1,148663.0,3.0,13.17,5.0,Salaried,Own,Medical,Central,0
59,59890.0,49362.0,639.0,6.0,0.089,1,9,1,19398.0,2.0,15.16,17.0,Salaried,Rent,Other,Central,0
69,64245.0,10000.0,717.0,5.0,0.448,1,3,4,112123.0,6.0,12.36,30.0,Contract,Mortgage,Education,Central,0
53,25699.0,27802.0,805.0,10.0,0.287,0,4,1,31397.0,6.0,11.7,10.0,Salaried,Rent,Other,East,0
41,85359.0,32965.0,697.0,3.0,0.036,0,2,3,109512.0,2.0,8.9,25.0,Unemployed,Rent,Other,West,0
40,51884.0,12553.0,674.0,7.0,0.418,0,13,4,7402.0,4.0,12.12,11.0,Contract,Own,Other,South,0
41,77314.0,24734.0,712.0,4.0,0.2,0,1,4,57167.0,8.0,7.25,24.0,Salaried,Rent,Education,North,0
60,68140.0,32104.0,576.0,11.0,0.203,1,13,1,20657.0,1.0,8.67,47.0,Salaried,Own,Business,East,0
36,66139.0,10000.0,656.0,15.0,0.127,0,7,6,65508.0,15.0,11.67,6.0,Contract,Own,Debt consolidation,East,0
29,58388.0,41417.0,590.0,4.0,0.132,3,2,4,61701.0,5.0,14.74,34.0,Contract,Own,Medical,East,1
37,92284.0,27529.0,670.0,8.0,0.076,1,7,2,40547.0,4.0,13.22,2.0,Salaried,Own,Business,East,0
22,53670.0,19639.0,662.0,7.0,0.061,0,5,4,138705.0,31.0,10.16,12.0,Salaried,Mortgage,Other,North,0
26,26894.0,23830.0,545.0,12.0,0.382,3,8,1,21937.0,13.0,11.87,5.0,Unemployed,Own,Business,West,1
25,81873.0,37436.0,700.0,4.0,0.065,0,2,2,59184.0,4.0,10.33,25.0,Salaried,Mortgage,Business,East,0
58,38371.0,125127.0,724.0,3.0,0.266,2,4,4,26185.0,7.0,11.97,11.0,Salaried,Own,Debt consolidation,East,1
56,28902.0,34803.0,679.0,2.0,0.252,0,12,0,33107.0,4.0,12.39,7.0,Contract,Rent,Debt consolidation,East,0
55,34124.0,40455.0,606.0,9.0,0.161,0,3,0,32106.0,18.0,13.85,2.0,Contract,Rent,Debt consolidation,North,0
43,69971.0,25467.0,760.0,7.0,0.466,0,7,2,11674.0,6.0,6.75,8.0,Self-employed,Mortgage,Debt consolidation,Central,0
56,56779.0,91696.0,794.0,11.0,0.134,5,9,2,30741.0,3.0,9.92,27.0,Unemployed,Own,Home improvement,South,1
28,18528.0,10000.0,712.0,15.0,0.183,0,8,5,28156.0,12.0,13.15,18.0,Salaried,Rent,Education,South,0
65,48484.0,10000.0,671.0,17.0,0.169,0,6,6,30742.0,15.0,10.28,21.0,Salaried,Rent,Other,West,0
45,113900.0,24705.0,671.0,8.0,0.377,0,8,3,50205.0,14.0,13.3,35.0,Contract,Own,Debt consolidation,East,0
66,46713.0,36138.0,714.0,5.0,0.196,2,11,4,13681.0,8.0,12.42,11.0,Salaried,Rent,Debt consolidation,North,0
28,54665.0,10000.0,695.0,11.0,0.197,0,8,1,29413.0,11.0,12.47,28.0,Contract,Rent,Medical,Central,0
45,106260.0,21970.0,714.0,8.0,0.149,0,4,3,48008.0,9.0,10.49,36.0,Salaried,Rent,Other,West,0
55,92737.0,19238.0,715.0,11.0,0.117,0,10,3,39252.0,15.0,11.74,8.0,Contract,Own,Business,East,0
45,105026.0,38489.0,649.0,4.0,0.04,2,1,0,32961.0,4.0,14.63,23.0,Salaried,Rent,Medical,South,0
42,13031.0,30380.0,645.0,1.0,0.333,3,3,1,102554.0,8.0,8.45,29.0,Self-employed,Mortgage,Debt consolidation,East,1
29,155350.0,10000.0,675.0,7.0,0.226,3,3,2,17993.0,7.0,10.71,4.0,Contract,Own,Medical,East,0
39,84967.0,10000.0,716.0,3.0,0.121,0,7,6,50800.0,4.0,15.21,18.0,Salaried,Own,Medical,West,0
32,231842.0,12027.0,604.0,10.0,0.303,0,9,0,44809.0,9.0,13.4,15.0,Unemployed,Rent,Debt consolidation,East,0
35,38938.0,38338.0,677.0,9.0,0.18,0,4,0,20901.0,18.0,5.0,17.0,Salaried,Own,Education,East,0
54,22700.0,29173.0,688.0,5.0,0.404,0,3,1,3939.0,6.0,13.77,17.0,Self-employed,Mortgage,Debt consolidation,Central,0
51,60112.0,13828.0,663.0,9.0,0.389,1,5,3,7305.0,19.0,10.46,26.0,Contract,Rent,Debt consolidation,North,0
50,51459.0,24549.0,767.0,7.0,0.15,0,11,2,16256.0,2.0,8.81,24.0,Contract,Mortgage,Debt consolidation,South,0
38,85778.0,10000.0,758.0,11.0,0.099,0,8,1,44404.0,4.0,6.34,20.0,Self-employed,Rent,Medical,West,0
68,108143.0,102460.0,713.0,10.0,0.394,5,7,2,47320.0,12.0,9.24,49.0,Salaried,Rent,Business,West,1
25,57067.0,33886.0,787.0,15.0,0.326,0,4,0,28968.0,8.0,8.55,7.0,Salaried,Mortgage,Education,North,0
37,52450.0,39721.0,738.0,9.0,0.162,0,4,6,44040.0,3.0,9.89,31.0,Self-employed,Rent,Home improvement,West,0
26,79817.0,61859.0,697.0,3.0,0.358,2,2,4,23690.0,4.0,17.57,6.0,Self-employed,Rent,Business,Central,1
37,52001.0,47202.0,664.0,14.0,0.314,5,8,2,19617.0,5.0,10.04,11.0,Salaried,Rent,Business,West,1
68,49663.0,22553.0,668.0,1.0,0.146,4,4,4,21797.0,10.0,8.99,18.0,Salaried,Rent,Debt consolidation,West,1
38,105918.0,19173.0,711.0,1.0,0.478,3,5,2,16541.0,7.0,7.65,21.0,Salaried,Rent,Business,Central,0
65,119716.0,57885.0,670.0,1.0,0.227,1,11,0,31582.0,6.0,12.27,12.0,Salaried,Mortgage,Education,Central,0
45,108682.0,22469.0,607.0,23.0,0.17,1,12,4,24870.0,7.0,13.38,19.0,Salaried,Rent,Education,West,0
55,54583.0,12560.0,669.0,4.0,0.175,1,4,5,98009.0,12.0,11.19,7.0,Self-employed,Rent,Debt consolidation,West,1
43,18455.0,96276.0,747.0,6.0,0.316,1,4,3,10179.0,0.0,9.99,15.0,Unemployed,Own,Business,North,1
34,55187.0,10917.0,548.0,4.0,0.208,0,13,0,55921.0,12.0,16.13,7.0,Salaried,Mortgage,Debt consolidation,South,0
58,39463.0,10000.0,767.0,8.0,0.447,3,9,5,26115.0,7.0,8.91,21.0,Unemployed,Rent,Medical,West,1
68,55751.0,46378.0,722.0,4.0,0.161,0,2,2,7523.0,17.0,13.26,15.0,Contract,Mortgage,Other,Central,0
33,41394.0,12728.0,677.0,6.0,0.241,0,5,4,17326.0,7.0,14.97,12.0,Contract,Mortgage,Business,West,0
59,59195.0,30526.0,706.0,12.0,0.292,0,4,6,65424.0,3.0,9.0,14.0,Salaried,Rent,Debt consolidation,Central,0
33,33806.0,86069.0,743.0,12.0,0.15,1,13,1,18961.0,7.0,11.13,9.0,Salaried,Mortgage,Medical,South,0
