age,annual_income,loan_amount,credit_score,credit_history_years,debt_to_income_ratio,num_delinquencies,num_open_accounts,recent_credit_inquiries,savings_balance,employment_years,interest_rate,loan_tenure_months,employment_status,rent_or_own,loan_purpose,region,default,default_probability,expected_loss
58,69548.0,19758.0,622.0,9.0,0.116,0,4,0,27195.0,5.0,14.49,4.0,Salaried,Rent,Other,South,0,0.008851793930174401,78.70218501257362
56,41889.0,22315.0,724.0,7.0,0.182,0,9,6,13402.0,5.0,14.5,9.0,Unemployed,Own,Debt consolidation,South,0,0.22642126379547148,2273.6657257181755
59,168912.0,10811.0,624.0,11.0,0.246,0,5,1,81419.0,14.0,10.84,19.0,Salaried,Rent,Business,Central,0,0.012395034413592772,60.30122267040816
46,65404.0,24687.0,657.0,5.0,0.664,4,6,4,76810.0,6.0,6.02,14.0,Self-employed,Rent,Debt consolidation,East,1,0.9950404862471057,11054.054017792036
27,68056.0,10000.0,618.0,7.0,0.155,1,1,1,10770.0,12.0,9.12,16.0,Salaried,Mortgage,Debt consolidation,Central,0,0.034570322765567485,155.56645244505367
62,66735.0,20615.0,656.0,7.0,0.41,0,13,2,23423.0,11.0,15.4,10.0,Contract,Own,Other,West,0,0.012381650647650561,114.86147764559234
43,103943.0,41056.0,610.0,7.0,0.123,0,9,3,9408.0,3.0,8.69,19.0,Contract,Rent,Debt consolidation,South,0,0.0864219405039648,1596.6626351988505
45,82192.0,16746.0,625.0,3.0,0.566,0,12,5,3678.0,2.0,10.38,11.0,Salaried,Rent,Medical,East,1,0.8457197121793657,6373.090035070046
39,76352.0,30722.0,640.0,4.0,0.199,0,10,1,19732.0,9.0,5.71,27.0,Salaried,Rent,Debt consolidation,South,0,0.008971687824871967,124.03268701007245
29,89751.0,10000.0,707.0,3.0,0.409,0,9,3,8970.0,5.0,10.4,44.0,Salaried,Rent,Home improvement,Central,0,0.00811557786242852,36.52010038092834
66,21949.0,10000.0,692.0,4.0,0.011,0,12,2,81451.0,9.0,6.36,58.0,Contract,Mortgage,Debt consolidation,Central,0,0.006619524490752238,29.787860208385073
59,22409.0,28154.0,600.0,9.0,0.139,0,12,4,23422.0,3.0,12.03,29.0,Contract,Own,Home improvement,North,0,0.5667666827752423,7180.537134084378
52,57421.0,48304.0,841.0,4.0,0.352,0,8,1,11393.0,20.0,11.64,15.0,Salaried,Own,Medical,North,0,0.006581030605165844,143.05054605836892
40,53706.0,18422.0,663.0,6.0,0.462,0,7,3,46884.0,7.0,8.29,23.0,Salaried,Rent,Debt consolidation,South,0,0.025776793599471496,213.68704126025878
61,82363.0,110074.0,617.0,6.0,0.275,0,13,3,64567.0,12.0,9.01,24.0,Contract,Own,Medical,North,0,0.2778574969569729,13763.198754018826
47,60537.0,10000.0,722.0,7.0,0.366,0,9,4,27303.0,10.0,8.18,27.0,Self-employed,Own,Business,East,0,0.009060998022426485,40.774491100919185
42,82456.0,13227.0,690.0,9.0,0.275,0,12,0,35390.0,11.0,13.53,13.0,Salaried,Mortgage,Other,South,0,0.0034566130398071297,20.57427930488801
43,30180.0,24467.0,645.0,6.0,0.294,1,11,4,49812.0,8.0,12.24,28.0,Unemployed,Rent,Medical,East,1,0.8439299739091165,9291.79560223546
32,59521.0,31203.0,711.0,1.0,0.092,0,1,2,147485.0,12.0,13.72,30.0,Contract,Rent,Other,North,0,0.004939922021201761,69.36317407240135
25,28636.0,14215.0,653.0,4.0,0.171,0,6,3,32529.0,9.0,9.43,8.0,Salaried,Rent,Business,North,0,0.014741214231795656,94.29586213723886
48,74070.0,10000.0,674.0,10.0,0.3,0,6,5,53170.0,4.0,8.13,20.0,Contract,Own,Medical,South,0,0.06049323227751611,272.2195452488225
64,21310.0,35073.0,771.0,8.0,0.414,0,5,0,89343.0,4.0,9.43,28.0,Salaried,Rent,Home improvement,Central,0,0.017959344830762114,283.44964556219384
24,72517.0,24341.0,697.0,10.0,0.323,0,6,2,44421.0,14.0,9.78,34.0,Contract,Rent,Medical,East,0,0.004629686719359871,50.71104199617238
63,26690.0,17010.0,724.0,8.0,0.184,3,11,4,48633.0,4.0,6.61,14.0,Self-employed,Own,Other,South,0,0.5580110296741886,4271.295426641077
61,48487.0,32020.0,661.0,3.0,0.27,0,3,5,12318.0,8.0,12.74,5.0,Contract,Rent,Other,North,1,0.28784253027836604,4147.523018780977
34,97950.0,19885.0,698.0,5.0,0.581,0,1,4,9804.0,12.0,11.85,5.0,Salaried,Rent,Other,North,0,0.029116423577084823,260.54103727364924
51,67850.0,19835.0,648.0,1.0,0.089,0,7,4,18549.0,7.0,13.79,12.0,Salaried,Rent,Medical,Central,0,0.033907466511380165,302.6495692139515
29,24219.0,19294.0,645.0,11.0,0.117,0,3,0,24460.0,7.0,14.17,49.0,Salaried,Rent,Business,South,0,0.008085397981429491,70.19985089416527
58,41365.0,11899.0,667.0,10.0,0.127,1,1,1,55046.0,4.0,13.37,4.0,Salaried,Rent,Business,West,0,0.011768500848304952,63.01502621729128
55,26219.0,11025.0,652.0,9.0,0.393,0,4,5,7541.0,5.0,13.06,19.0,Salaried,Own,Debt consolidation,Central,0,0.5345530409897736,2652.0512746105146
38,23574.0,14850.0,747.0,9.0,0.396,0,4,6,18678.0,4.0,11.2,24.0,Self-employed,Rent,Business,South,0,0.06426344977434859,429.44050311708446
24,63877.0,22563.0,722.0,5.0,0.196,0,7,1,285014.0,10.0,7.02,62.0,Salaried,Rent,Business,West,0,0.0034089195625506426,34.61195344042357
68,81484.0,10000.0,564.0,18.0,0.219,0,2,5,57717.0,8.0,11.11,14.0,Salaried,Rent,Other,South,0,0.8046867987568516,3621.090594405832
42,76293.0,44737.0,785.0,10.0,0.259,1,13,0,106836.0,2.0,15.06,21.0,Salaried,Rent,Debt consolidation,South,0,0.006946452556022479,139.84355159944994
64,83403.0,22333.0,725.0,13.0,0.117,0,5,0,14716.0,2.0,7.98,16.0,Salaried,Rent,Medical,West,0,0.003369179080972146,33.85974438690792
54,59483.0,10000.0,753.0,11.0,0.159,0,12,4,15237.0,9.0,10.49,21.0,Contract,Rent,Other,Central,0,0.005261351313861728,23.67608091237778
59,51515.0,74046.0,681.0,1.0,0.048,1,5,5,12324.0,11.0,9.92,24.0,Salaried,Rent,Debt consolidation,North,0,0.36535834346822765,12173.995755201773
58,33184.0,22728.0,608.0,7.0,0.465,0,6,6,27707.0,8.0,10.27,35.0,Contract,Own,Debt consolidation,North,1,0.9545998715220737,9763.265645979161
30,47003.0,10000.0,617.0,13.0,0.323,0,13,0,46026.0,2.0,12.57,38.0,Salaried,Rent,Other,South,0,0.016599906647803787,74.69957991511704
38,28948.0,71596.0,784.0,13.0,0.364,0,8,3,17578.0,9.0,12.36,36.0,Salaried,Rent,Debt consolidation,North,0,0.04118884997533347,1327.030606275289
43,37615.0,60849.0,600.0,21.0,0.155,4,3,2,14824.0,3.0,12.2,33.0,Salaried,Rent,Medical,Central,1,0.9836681510815332,26934.8504963221
45,62875.0,11141.0,610.0,3.0,0.462,0,11,2,30243.0,6.0,10.11,7.0,Salaried,Mortgage,Business,South,0,0.05807747018924363,291.1684929202635
23,56118.0,17288.0,666.0,5.0,0.144,0,7,3,7393.0,11.0,11.61,11.0,Salaried,Mortgage,Education,Central,0,0.007925312596158276,61.655761873072926
47,323062.0,15628.0,614.0,13.0,0.414,1,11,5,34276.0,15.0,13.51,26.0,Self-employed,Rent,Business,Central,1,0.9743247350423575,6852.036131658883
28,28561.0,10000.0,719.0,6.0,0.238,1,8,5,37025.0,5.0,15.02,27.0,Salaried,Rent,Debt consolidation,North,0,0.11334564391936464,510.05539763714086
57,55893.0,28100.0,724.0,6.0,0.293,3,3,2,179017.0,6.0,10.11,20.0,Salaried,Rent,Business,South,1,0.1381343764062307,1746.7091896567872
54,27363.0,41517.0,713.0,10.0,0.07,0,11,3,38197.0,4.0,15.1,13.0,Contract,Rent,Medical,North,0,0.010111942220645488,188.91787732854243
66,48374.0,36050.0,656.0,2.0,0.126,0,5,4,1184.0,16.0,8.81,12.0,Salaried,Mortgage,Other,North,0,0.032583965436774366,528.5933792980721
57,49469.0,22574.0,706.0,2.0,0.037,3,12,3,87519.0,2.0,10.95,19.0,Salaried,Mortgage,Business,East,0,0.3337399293718685,3390.2303245382523
38,95290.0,44650.0,788.0,18.0,0.322,0,5,4,81565.0,6.0,12.26,7.0,Salaried,Rent,Medical,Central,0,0.009588516268992445,192.6572631347307
68,46755.0,10000.0,611.0,3.0,0.077,0,3,0,28917.0,6.0,8.62,59.0,Salaried,Mortgage,Medical,Central,0,0.01009860649845129,45.44372924303081
41,53894.0,86138.0,751.0,2.0,0.444,0,10,2,53477.0,6.0,11.21,2.0,Self-employed,Rent,Debt consolidation,North,0,0.015264652488624077,591.6899862292953
36,47256.0,12344.0,734.0,13.0,0.202,3,7,4,53773.0,3.0,12.32,13.0,Self-employed,Rent,Business,North,1,0.5813375903490912,3229.2140468711314
65,27706.0,13417.0,684.0,20.0,0.015,0,8,1,17466.0,8.0,6.59,4.0,Contract,Own,Medical,East,0,0.003886096431841022,23.462890121704948
39,41829.0,14308.0,699.0,6.0,0.167,0,7,3,85893.0,6.0,9.85,30.0,Salaried,Mortgage,Other,East,0,0.005377087758322787,34.6209172407371
24,48530.0,13547.0,710.0,5.0,0.698,0,1,0,42176.0,6.0,8.6,15.0,Self-employed,Own,Other,East,0,0.012131199971801569,73.95361470809813
44,62355.0,19062.0,636.0,11.0,0.238,0,1,3,46151.0,13.0,8.56,17.0,Salaried,Rent,Debt consolidation,North,0,0.02753233229307707,236.1695931767858
59,81424.0,18516.0,600.0,15.0,0.052,4,8,2,8051.0,16.0,16.63,17.0,Salaried,Own,Other,South,1,0.9120378105726182,7599.28144525317
30,52626.0,24276.0,740.0,14.0,0.489,0,12,3,15957.0,2.0,6.53,18.0,Self-employed,Rent,Other,East,0,0.006655424195700224,72.70518499866839
43,52120.0,11920.0,622.0,14.0,0.335,3,2,1,19746.0,6.0,11.1,44.0,Salaried,Own,Debt consolidation,West,1,0.7052109608833841,3782.7515941784727
27,23238.0,24958.0,630.0,18.0,0.233,0,3,1,20876.0,8.0,12.19,20.0,Contract,Rent,Other,North,0,0.017040979226919425,191.38894179545477
54,80568.0,10000.0,662.0,8.0,0.491,0,10,0,21087.0,8.0,10.52,13.0,Salaried,Rent,Home improvement,Central,0,0.009796904336938599,44.086069516223695
44,40833.0,38153.0,706.0,1.0,0.092,2,12,1,37417.0,4.0,11.24,6.0,Salaried,Own,Business,Central,0,0.03011795920081186,517.0907238248587
37,90302.0,37800.0,663.0,10.0,0.498,0,10,0,76255.0,14.0,9.23,7.0,Salaried,Rent,Other,East,0,0.009907321617016593,168.52354070545226
32,123506.0,21931.0,650.0,5.0,0.137,0,4,4,42007.0,3.0,10.83,11.0,Contract,Own,Home improvement,South,0,0.03396542129194485,335.20304445913916
48,53995.0,13531.0,742.0,29.0,0.15,2,6,2,51916.0,4.0,11.75,11.0,Salaried,Rent,Debt consolidation,East,0,0.022990136498842902,139.9857916346295
53,34104.0,27816.0,672.0,5.0,0.123,0,1,0,42621.0,1.0,12.57,37.0,Self-employed,Own,Other,West,0,0.008046966469773823,100.72548869545291
67,59327.0,11319.0,646.0,8.0,0.274,1,2,4,40506.0,8.0,12.18,52.0,Salaried,Own,Business,North,1,0.41060819317571323,2091.4533623501543
42,72532.0,22605.0,712.0,3.0,0.338,0,13,6,14396.0,6.0,13.15,37.0,Contract,Rent,Education,Central,0,0.0824504771406857,838.70686609434
28,50335.0,19656.0,693.0,1.0,0.117,0,8,2,23929.0,13.0,9.35,6.0,Salaried,Own,Business,Central,0,0.003957848402875658,35.00796069311577
61,43905.0,158329.0,692.0,11.0,0.546,0,7,1,12424.0,3.0,13.82,23.0,Salaried,Rent,Business,Central,0,0.07173030176955666,5110.644126992462
51,81629.0,10000.0,714.0,7.0,0.444,0,10,4,57576.0,13.0,11.84,80.0,Salaried,Rent,Medical,North,0,0.012530458740287454,56.387064331293544
55,78721.0,10000.0,682.0,6.0,0.386,0,11,4,117589.0,9.0,10.77,3.0,Contract,Rent,Debt consolidation,South,0,0.024041163802977817,108.18523711340018
25,49491.0,13654.0,736.0,9.0,0.278,3,8,3,40594.0,2.0,15.95,5.0,Self-employed,Rent,Business,North,1,0.3682015850169802,2262.3409988198314
36,24107.0,10000.0,611.0,8.0,0.633,2,11,2,10723.0,8.0,14.49,27.0,Salaried,Rent,Debt consolidation,West,1,0.8789766299398108,3955.394834729149
58,76957.0,12772.0,758.0,5.0,0.176,0,2,3,35263.0,7.0,8.36,54.0,Self-employed,Mortgage,Medical,North,0,0.0034482910882696885,19.818708200721208
61,39260.0,10000.0,640.0,7.0,0.268,3,2,1,16044.0,7.0,9.44,9.0,Salaried,Own,Other,West,1,0.5859027414656234,2636.562336595305
42,67365.0,11177.0,600.0,4.0,0.211,0,6,4,16483.0,14.0,10.63,29.0,Salaried,Own,Medical,North,0,0.2807902055561987,1412.276457375735
60,65065.0,10000.0,647.0,7.0,0.363,0,7,4,21583.0,11.0,14.06,36.0,Salaried,Rent,Home improvement,West,0,0.08945298496287937,402.5384323329572
62,21186.0,45352.0,671.0,8.0,0.369,0,7,0,12840.0,8.0,12.38,7.0,Salaried,Mortgage,Business,West,0,0.03579669066191962,730.5531817047204
39,62605.0,21239.0,650.0,3.0,0.231,1,10,1,25706.0,10.0,12.12,26.0,Self-employed,Own,Medical,East,0,0.016115023266932777,154.02014062487336
65,79459.0,49345.0,637.0,19.0,0.46,1,6,6,43414.0,5.0,16.64,26.0,Contract,Own,Medical,Central,1,0.9767920253335468,21689.91112053774
35,85002.0,22705.0,746.0,15.0,0.267,0,5,0,35402.0,5.0,10.0,12.0,Salaried,Mortgage,Debt consolidation,North,0,0.0032884324460363203,33.59873640926459
32,63867.0,44198.0,642.0,10.0,0.219,0,11,2,17890.0,4.0,16.0,29.0,Contract,Mortgage,Debt consolidation,East,0,0.01744684770220288,347.00209863388335
54,20182.0,17560.0,566.0,17.0,0.331,0,13,2,43590.0,10.0,8.14,41.0,Self-employed,Rent,Home improvement,West,1,0.46524328439136736,3676.352433260585
52,120861.0,72832.0,671.0,18.0,0.261,0,8,2,100179.0,7.0,9.37,47.0,Contract,Rent,Home improvement,North,0,0.014200909432427612,465.4262861021556
27,75061.0,31358.0,802.0,6.0,0.353,1,8,1,8486.0,8.0,9.13,47.0,Contract,Rent,Home improvement,West,0,0.007254663815868605,102.37128657210347
61,30890.0,12273.0,631.0,6.0,0.144,0,2,0,26980.0,9.0,12.63,28.0,Salaried,Own,Education,North,0,0.009473632122686924,52.321449168781484
30,38822.0,35044.0,641.0,1.0,0.243,0,8,3,32191.0,12.0,10.05,24.0,Contract,Rent,Debt consolidation,Central,0,0.05580810170531979,880.082602272552
60,67994.0,22479.0,668.0,13.0,0.717,0,1,4,34827.0,11.0,16.53,4.0,Contract,Rent,Business,East,0,0.12697300723988855,1284.4018033854547
21,87019.0,18923.0,775.0,3.0,0.048,1,3,1,124891.0,11.0,15.0,11.0,Contract,Mortgage,Medical,West,0,0.003924148842849614,33.415500848959454
60,45781.0,23671.0,670.0,11.0,0.35,0,2,5,11888.0,12.0,10.15,16.0,Salaried,Rent,Other,East,0,0.11560562801927152,1231.4253693798794
59,94281.0,38694.0,634.0,8.0,0.116,0,12,0,18960.0,5.0,13.88,10.0,Salaried,Rent,Debt consolidation,Central,0,0.009060956404529013,157.77209120258053
59,22337.0,10000.0,710.0,3.0,0.181,0,7,1,57085.0,3.0,12.85,3.0,Self-employed,Own,Medical,North,0,0.006565526796267616,29.544870583204276
53,33747.0,16929.0,706.0,5.0,0.21,4,10,2,17977.0,5.0,14.66,9.0,Salaried,Rent,Other,East,0,0.49125033383255173,3742.3696056530707
44,19237.0,36754.0,717.0,9.0,0.197,0,3,0,37864.0,7.0,15.01,30.0,Salaried,Rent,Home improvement,Central,0,0.01814252145170027,300.06460504610624
55,36550.0,26534.0,632.0,5.0,0.298,3,7,1,11043.0,12.0,9.55,14.0,Unemployed,Rent,Medical,East,1,0.8575894592192137,10239.875419915177
34,137234.0,10000.0,659.0,18.0,0.344,4,7,3,10310.0,3.0,11.88,12.0,Self-employed,Rent,Other,North,1,0.9693688572224651,4362.159857501093
59,185682.0,10000.0,752.0,9.0,0.418,3,7,6,23885.0,11.0,14.24,18.0,Self-employed,Own,Medical,South,0,0.7285163211051973,3278.3234449733877
48,68120.0,78881.0,712.0,2.0,0.391,1,1,1,87123.0,8.0,16.0,4.0,Self-employed,Rent,Business,East,0,0.023407676503051304,830.8894186067355
43,42145.0,19143.0,734.0,16.0,0.297,0,11,2,56120.0,5.0,8.9,9.0,Salaried,Rent,Business,Central,0,0.0049788288268203165,42.88937410431959
45,53003.0,68565.0,687.0,6.0,0.125,0,1,1,70619.0,11.0,16.17,8.0,Salaried,Rent,Other,North,0,0.01143000789945459,352.6643212317468
48,77679.0,39983.0,748.0,10.0,0.256,0,13,6,4232.0,5.0,11.79,33.0,Unemployed,Own,Debt consolidation,Central,0,0.06337014906320494,1140.1779014973554
22,25346.0,12146.0,706.0,2.0,0.136,0,10,4,32989.0,7.0,11.39,10.0,Salaried,Mortgage,Business,East,0,0.007544027273550573,41.23338986904537
27,43701.0,10000.0,661.0,5.0,0.271,0,6,3,40308.0,1.0,6.64,36.0,Unemployed,Mortgage,Business,North,0,0.05517496059286366,248.28732266788649
33,131820.0,15574.0,731.0,2.0,0.409,0,4,4,8245.0,9.0,9.84,18.0,Contract,Rent,Education,Central,0,0.011623086156899606,81.45807471339951
26,33687.0,21420.0,642.0,11.0,0.076,0,5,4,78828.0,15.0,6.77,1.0,Self-employed,Mortgage,Home improvement,West,0,0.05357974945919167,516.4552050371485
42,39658.0,30884.0,775.0,5.0,0.363,0,5,6,54012.0,6.0,9.06,13.0,Salaried,Own,Medical,North,0,0.061126299252931296,849.5210817573886
53,60310.0,10000.0,745.0,5.0,0.09,0,7,5,35224.0,1.0,11.47,29.0,Contract,Rent,Debt consolidation,East,0,0.00838829459270295,37.74732566716328
53,69963.0,25172.0,674.0,16.0,0.419,1,13,1,118489.0,15.0,8.91,2.0,Self-employed,Mortgage,Debt consolidation,North,0,0.013925118921125922,157.7353920671618
44,42457.0,25166.0,680.0,12.0,0.19,0,1,0,107618.0,5.0,7.02,16.0,Salaried,Rent,Other,South,0,0.00465534398715535,52.7203740513382
62,62463.0,46141.0,697.0,7.0,0.19,0,8,0,30974.0,9.0,8.93,9.0,Salaried,Rent,Debt consolidation,Central,0,0.005724272348255269,118.85564268938087
48,83647.0,17499.0,680.0,7.0,0.461,0,9,0,94487.0,5.0,16.82,2.0,Salaried,Rent,Medical,South,0,0.005781825914738223,45.52927725690187
24,176098.0,30702.0,763.0,19.0,0.488,0,4,2,24292.0,3.0,7.79,7.0,Salaried,Mortgage,Medical,North,0,0.005556894461191058,76.77349818636954
58,55858.0,27346.0,660.0,4.0,0.172,1,3,2,30995.0,12.0,13.03,14.0,Salaried,Rent,Home improvement,North,0,0.041888316022506075,515.465050478153
49,58530.0,42476.0,607.0,4.0,0.44,1,8,1,25214.0,4.0,12.35,16.0,Self-employed,Own,Other,Central,1,0.2578481699323404,4928.561489720741
52,138704.0,11909.0,676.0,2.0,0.23,1,4,4,82787.0,3.0,9.19,21.0,Salaried,Own,Home improvement,North,0,0.06970396084192063,373.5470113498948
48,44265.0,10000.0,731.0,9.0,0.268,1,9,3,31364.0,12.0,13.33,22.0,Salaried,Own,Education,North,0,0.012838648724592311,57.7739192606654
48,28900.0,18441.0,746.0,8.0,0.215,1,1,0,12116.0,7.0,12.65,4.0,Salaried,Rent,Debt consolidation,South,0,0.006953021688929194,57.69930283449447
25,68709.0,18523.0,696.0,5.0,0.113,0,4,2,94547.0,4.0,14.74,7.0,Salaried,Own,Education,East,0,0.0035023544162103193,29.193349883158685
48,108217.0,10000.0,655.0,3.0,0.133,0,13,0,27277.0,5.0,11.27,11.0,Salaried,Rent,Business,North,0,0.005068239264938915,22.80707669222512
59,73026.0,10000.0,688.0,17.0,0.522,3,12,2,24962.0,4.0,8.82,12.0,Contract,Own,Business,North,0,0.3982082448540048,1791.9371018430215
35,56763.0,14314.0,654.0,7.0,0.161,0,11,6,7074.0,3.0,11.19,73.0,Self-employed,Rent,Other,Central,0,0.41175101869673203,2652.21183673126
50,26994.0,20208.0,563.0,7.0,0.44,0,12,3,18610.0,4.0,7.01,28.0,Contract,Own,Business,East,1,0.777305834727349,7068.508338676622
22,57983.0,23661.0,643.0,7.0,0.067,0,12,3,31935.0,20.0,10.03,11.0,Contract,Mortgage,Debt consolidation,South,0,0.011554322294321791,123.02406891267655
38,117976.0,10000.0,718.0,2.0,0.29,0,1,2,120359.0,10.0,9.78,49.0,Salaried,Rent,Debt consolidation,North,0,0.004416212557793532,19.872956510070892
42,30371.0,10000.0,675.0,13.0,0.21,0,13,2,90318.0,6.0,11.39,33.0,Salaried,Rent,Business,East,0,0.0064393977330846315,28.977289798880843
69,52333.0,51388.0,673.0,8.0,0.474,0,2,0,73057.0,9.0,8.37,23.0,Salaried,Own,Medical,North,0,0.017215098458518013,398.09226581384564
31,48382.0,19107.0,751.0,12.0,0.279,0,1,0,3703.0,1.0,13.45,36.0,Salaried,Own,Business,South,0,0.003479851658154267,29.92028653455911
34,40793.0,21986.0,637.0,6.0,0.244,0,10,0,24624.0,2.0,16.52,44.0,Salaried,Own,Other,Central,0,0.008240621730403531,81.53023921409341
41,68621.0,10000.0,642.0,5.0,0.298,0,6,5,21444.0,6.0,11.48,17.0,Salaried,Rent,Medical,West,1,0.3631357972901317,1634.1110878055927
69,76406.0,21954.0,708.0,12.0,0.434,1,12,3,80483.0,6.0,14.46,29.0,Self-employed,Own,Business,North,0,0.03283679147889934,324.40451405749025
62,75967.0,16618.0,651.0,6.0,0.341,0,3,3,24742.0,1.0,10.27,24.0,Salaried,Own,Home improvement,South,0,0.013755371727839184,102.8640453179542
22,34988.0,13851.0,651.0,4.0,0.331,0,12,0,20614.0,15.0,17.92,37.0,Unemployed,Mortgage,Debt consolidation,Central,0,0.018254123382179282,113.77703833495436
32,24215.0,10000.0,775.0,17.0,0.424,0,11,1,10932.0,7.0,6.29,13.0,Salaried,Rent,Other,Central,0,0.007180478489880057,32.31215320446026
61,69169.0,11483.0,631.0,15.0,0.398,0,3,4,17759.0,10.0,13.89,31.0,Contract,Mortgage,Medical,North,0,0.32720514142436596,1690.7834875391975
23,45331.0,96666.0,650.0,10.0,0.426,0,8,0,1790.0,7.0,8.1,13.0,Self-employed,Rent,Debt consolidation,South,0,0.07924530533934708,3447.1470086699965
62,164567.0,16948.0,714.0,4.0,0.308,0,13,2,7823.0,14.0,15.03,28.0,Salaried,Rent,Business,Central,0,0.0043506786109698365,33.180885494422554
34,168802.0,39824.0,687.0,7.0,0.224,1,10,0,54634.0,2.0,10.15,11.0,Unemployed,Mortgage,Medical,West,0,0.01539700806780067,275.92670218144224
65,178953.0,19010.0,614.0,2.0,0.189,0,8,5,47392.0,6.0,14.63,4.0,Salaried,Rent,Medical,North,1,0.590152323524983,5048.458051594467
35,35701.0,17429.0,788.0,13.0,0.212,0,5,6,18213.0,25.0,14.09,19.0,Salaried,Rent,Debt consolidation,West,0,0.035799881281486264,280.7802588847609
42,81892.0,13671.0,646.0,5.0,0.206,0,8,1,17898.0,5.0,9.79,22.0,Contract,Mortgage,Education,North,0,0.005463919527573137,33.61375973765357
53,96667.0,60429.0,676.0,13.0,0.373,1,6,0,102151.0,3.0,13.02,10.0,Salaried,Mortgage,Other,North,0,0.016808587207930478,457.07675237461393
27,90862.0,29138.0,714.0,11.0,0.108,1,4,0,98852.0,10.0,11.06,13.0,Unemployed,Own,Medical,South,0,0.014311435651981166,187.65297541234224
48,49271.0,12183.0,809.0,4.0,0.2,0,13,0,25848.0,3.0,13.45,24.0,Salaried,Rent,Medical,West,0,0.0035377965329361125,19.395438822342296
45,120999.0,16390.0,667.0,7.0,0.359,0,8,1,148663.0,3.0,13.17,5.0,Salaried,Own,Medical,Central,0,0.0051195426681605,37.759186949017774
59,59890.0,49362.0,639.0,6.0,0.089,1,9,1,19398.0,2.0,15.16,17.0,Salaried,Rent,Other,Central,0,0.03645758941884645,809.8287880018943
69,64245.0,10000.0,717.0,5.0,0.448,1,3,4,112123.0,6.0,12.36,30.0,Contract,Mortgage,Education,Central,0,0.04438964665085063,199.75340992882784
53,25699.0,27802.0,805.0,10.0,0.287,0,4,1,31397.0,6.0,11.7,10.0,Salaried,Rent,Other,East,0,0.007899271024874373,98.8269898651008
41,85359.0,32965.0,697.0,3.0,0.036,0,2,3,109512.0,2.0,8.9,25.0,Unemployed,Rent,Other,West,0,0.019140004550649924,283.92761250547863
40,51884.0,12553.0,674.0,7.0,0.418,0,13,4,7402.0,4.0,12.12,11.0,Contract,Own,Other,South,0,0.050623934717195763,285.96701362723127
41,77314.0,24734.0,712.0,4.0,0.2,0,1,4,57167.0,8.0,7.25,24.0,Salaried,Rent,Education,North,0,0.007010825587025235,78.03259203126697
60,68140.0,32104.0,576.0,11.0,0.203,1,13,1,20657.0,1.0,8.67,47.0,Salaried,Own,Business,East,0,0.28249100436537955,4081.0910418657654
36,66139.0,10000.0,656.0,15.0,0.127,0,7,6,65508.0,15.0,11.67,6.0,Contract,Own,Debt consolidation,East,0,0.22321569034196628,1004.4706065388483
