customer_id,age,gender,marital_status,education,employment_type,region,city_tier,residency_type,annual_income,monthly_income,monthly_expenses,savings_balance,existing_debt,loan_amount,tenure_months,interest_rate,credit_history_years,num_active_accounts,num_open_loans,credit_utilization,delinquency_30,delinquency_60,delinquency_90,recent_inquiries,repayment_ratio,avg_balance,txn_count_month,cashflow_stability,salary_credit_flag,overdraft_usage,collateral_flag,collateral_value,kyc_doc_quality,kyc_completion,kyc_risk_score,kyc_status,bureau_score,credit_score_band,dti,affordability_ratio,default_probability,risk_band,approval_status,loan_status,default
CUST000029,45,Female,Single,Bachelor,Self-employed,West,Tier3,Family,50003.0,4166.92,3125.64,17046.83,32385.93,14236.22,12,11.82,14,3,4,0.433,0,0,0,0,1.328,8679.68,15,0.812,1,0,0,0.0,Good,Complete,0.443,Review,825.0,Excellent,0.932,0.25,0.197,Low,Rejected,Performing,0
CUST000030,40,Female,Married,Bachelor,Self-employed,East,Tier1,Own,18000.0,1500.0,1044.67,2203.99,1600.77,11036.25,25,11.37,1,2,1,0.466,0,1,0,2,1.42,2176.89,90,0.516,1,0,0,0.0,Good,Complete,0.481,Review,765.0,Very Good,0.702,0.304,0.822,Critical,Rejected,At Risk,0
CUST000031,41,Female,Married,Bachelor,Contract,North,Tier2,Family,98292.0,8191.0,4442.82,12824.81,29022.74,24368.98,27,6.78,19,12,1,0.813,0,0,0,0,1.841,15943.46,105,0.899,1,1,0,0.0,Poor,Complete,0.782,Rejected,833.0,Excellent,0.543,0.458,0.036,Low,Rejected,Performing,0
CUST000032,31,Female,Married,Bachelor,Contract,East,Tier1,Rent,83450.0,6954.17,3733.39,10533.12,48094.47,49834.5,72,12.11,30,5,2,0.366,0,1,0,1,1.857,13470.66,79,0.783,0,0,1,96526.0,Good,Complete,0.497,Review,850.0,Excellent,1.174,0.463,0.623,High,Rejected,At Risk,0
CUST000033,25,Female,Married,High School,Salaried,North,Tier3,Family,60692.0,5057.67,3159.11,8328.72,6871.47,48030.4,21,12.54,7,8,3,0.303,0,0,0,1,1.595,6525.77,114,0.733,1,0,0,0.0,Average,Pending,0.887,Rejected,786.0,Very Good,0.905,0.375,0.334,Medium,Rejected,Performing,0
CUST000034,45,Male,Married,Bachelor,Unemployed,East,Tier2,Own,108478.0,9039.83,7271.05,12537.85,29426.76,65992.6,24,8.23,17,1,4,0.366,0,0,0,3,1.242,16388.02,69,0.599,1,0,0,0.0,Good,Complete,0.566,Review,850.0,Excellent,0.88,0.196,0.308,Medium,Rejected,Performing,0
CUST000035,60,Other,Single,PhD,Salaried,East,Tier3,Family,73835.0,6152.92,3398.45,24310.04,13204.92,45377.56,37,5.43,4,12,4,0.379,0,0,0,0,1.808,33724.67,58,0.607,1,0,0,0.0,Good,Complete,0.444,Review,780.0,Very Good,0.793,0.448,0.05,Low,Rejected,Performing,0
CUST000036,23,Female,Divorced,Associate,Salaried,South,Tier2,Own,62460.0,5205.0,3821.47,15593.27,21580.41,24089.99,21,8.45,19,1,4,0.585,0,0,0,1,1.359,21287.16,31,0.662,1,0,0,0.0,Good,Complete,0.378,Review,850.0,Excellent,0.731,0.266,0.132,Low,Rejected,Performing,0
CUST000037,59,Female,Single,High School,Unemployed,West,Tier1,Own,101716.0,8476.33,7100.36,33595.93,40002.86,25840.78,7,10.3,25,3,2,0.25,1,0,0,0,1.192,47014.93,69,0.742,1,0,0,0.0,Average,Complete,0.56,Review,850.0,Excellent,0.647,0.162,0.062,Low,Rejected,Performing,0
CUST000038,58,Female,Married,Bachelor,Salaried,North,Tier2,Family,49223.0,4101.92,3416.93,10904.81,22970.52,17421.91,76,9.85,15,10,2,0.536,0,0,0,1,1.197,10750.34,46,0.823,1,0,1,40582.0,Good,Partial,0.693,Rejected,850.0,Excellent,0.821,0.167,0.575,High,Rejected,At Risk,0
CUST000039,33,Female,Single,Bachelor,Contract,North,Tier3,Rent,49145.0,4095.42,2256.94,4841.41,23960.7,33668.85,64,5.0,12,7,2,0.379,0,0,1,1,1.811,5140.08,60,0.513,1,1,0,0.0,Good,Complete,0.483,Review,796.0,Very Good,1.173,0.449,0.804,Critical,Rejected,At Risk,0
CUST000040,49,Female,Married,Associate,Contract,North,Tier3,Rent,49833.0,4152.75,2159.02,4628.91,3404.21,43019.17,45,5.0,22,3,4,0.273,0,0,0,3,1.919,6338.59,122,0.824,1,0,0,0.0,Good,Complete,0.471,Review,850.0,Excellent,0.932,0.48,0.811,Critical,Rejected,At Risk,0
CUST000041,28,Male,Married,Bachelor,Self-employed,East,Tier2,Rent,36041.0,3003.42,1929.3,10219.05,7820.61,3126.34,82,7.72,30,12,3,0.406,0,0,0,0,1.551,15062.79,90,0.866,1,0,1,7032.0,Good,Complete,0.469,Review,850.0,Excellent,0.304,0.358,0.006,Low,Rejected,Performing,0
CUST000042,55,Female,Married,Master,Salaried,North,Tier2,Family,137263.0,11438.58,8959.14,14625.94,39943.48,60556.78,19,9.81,13,11,1,0.284,2,1,0,0,1.275,8466.24,29,0.677,1,0,1,90817.0,Good,Complete,0.477,Review,756.0,Very Good,0.732,0.217,0.831,Critical,Rejected,Defaulted,1
CUST000043,52,Female,Single,Associate,Salaried,North,Tier1,Own,39463.0,3288.58,1586.87,2048.05,16976.0,14596.17,47,13.66,27,10,2,0.435,1,1,0,1,2.055,1557.2,40,0.846,0,0,0,0.0,Average,Complete,0.614,Review,850.0,Excellent,0.8,0.517,0.686,High,Rejected,At Risk,0
CUST000044,36,Female,Single,Associate,Contract,West,Tier1,Own,53660.0,4471.67,3173.07,1402.8,21866.83,18993.31,70,5.0,18,3,0,0.187,0,0,0,3,1.407,1105.07,18,0.728,1,1,0,0.0,Good,Complete,0.455,Review,850.0,Excellent,0.761,0.29,0.678,High,Rejected,At Risk,0
CUST000045,24,Male,Single,Bachelor,Salaried,North,Tier1,Rent,70068.0,5839.0,3647.86,19717.55,23469.27,11017.98,80,5.23,2,7,4,0.18,0,0,0,0,1.598,24383.16,126,0.535,1,2,0,0.0,Poor,Complete,0.619,Review,795.0,Very Good,0.492,0.375,0.062,Low,Rejected,Performing,0
CUST000046,64,Male,Divorced,Bachelor,Self-employed,West,Tier2,Own,76911.0,6409.25,3025.59,19755.25,32712.75,13519.77,37,10.3,9,7,0,0.643,0,1,0,1,2.111,11565.94,61,0.99,1,0,1,17492.0,Good,Complete,0.522,Review,749.0,Very Good,0.601,0.528,0.803,Critical,Rejected,At Risk,0
CUST000047,41,Female,Single,High School,Salaried,West,Tier3,Rent,79636.0,6636.33,3495.15,8117.68,27572.21,40545.71,31,12.45,10,9,0,0.426,3,0,1,0,1.892,7031.03,140,0.476,0,2,0,0.0,Good,Complete,0.448,Review,705.0,Good,0.855,0.473,0.892,Critical,Rejected,Defaulted,1
CUST000048,61,Male,Divorced,Bachelor,Salaried,South,Tier2,Own,30540.0,2545.0,1868.1,3982.72,7066.53,19080.29,6,10.69,23,2,4,0.344,2,0,0,0,1.355,4011.32,94,0.947,1,1,0,0.0,Average,Complete,0.6,Review,850.0,Excellent,0.856,0.266,0.402,Medium,Rejected,Performing,0
CUST000049,51,Female,Single,Bachelor,Salaried,East,Tier3,Rent,33609.0,2800.75,1873.73,7933.17,6077.27,12594.83,26,6.55,20,12,1,0.208,0,0,0,1,1.49,10530.55,74,0.669,1,0,0,0.0,Poor,Complete,0.714,Rejected,850.0,Excellent,0.556,0.331,0.128,Low,Rejected,Performing,0
CUST000050,56,Female,Married,Bachelor,Salaried,East,Tier2,Family,72091.0,6007.58,3539.8,18449.39,20844.33,53297.61,47,10.92,8,2,2,0.114,0,0,0,2,1.692,13513.82,46,0.759,1,2,0,0.0,Good,Complete,0.352,Review,810.0,Excellent,1.028,0.411,0.586,High,Rejected,At Risk,0
CUST000051,55,Male,Married,Associate,Contract,East,Tier2,Rent,121394.0,10116.17,5371.92,16627.0,76131.72,36673.24,81,8.88,1,4,3,0.373,0,0,1,0,1.88,23800.62,77,0.831,1,0,0,0.0,Good,Complete,0.552,Review,714.0,Good,0.929,0.469,0.638,High,Rejected,At Risk,0
CUST000052,29,Male,Married,Associate,Salaried,North,Tier2,Own,118868.0,9905.67,8126.42,20003.68,65628.6,27807.58,19,14.52,30,1,4,0.415,0,2,0,0,1.217,17579.59,38,0.81,1,2,0,0.0,Average,Pending,0.868,Rejected,848.0,Excellent,0.786,0.18,0.229,Low,Rejected,Performing,0
CUST000053,37,Female,Married,Associate,Contract,North,Tier3,Family,101131.0,8427.58,5331.71,13094.67,39377.95,71939.04,71,13.85,12,12,3,0.3,0,0,0,4,1.577,8173.48,60,0.684,0,1,0,0.0,Good,Complete,0.447,Review,790.0,Very Good,1.101,0.367,0.791,Critical,Rejected,At Risk,0
CUST000054,42,Male,Married,Master,Self-employed,East,Tier3,Rent,55460.0,4621.67,3174.15,9218.48,1057.62,47484.88,76,7.08,1,11,2,0.221,0,0,0,4,1.453,4774.15,26,0.762,1,0,0,0.0,Poor,Complete,0.733,Rejected,712.0,Good,0.875,0.313,0.867,Critical,Rejected,Defaulted,1
CUST000055,43,Female,Married,Bachelor,Student,South,Tier3,Rent,49534.0,4127.83,2530.53,2933.05,25600.83,32202.64,19,16.41,14,5,0,0.379,0,0,0,1,1.621,3563.46,78,0.863,1,1,1,29759.0,Good,Complete,0.445,Review,819.0,Excellent,1.167,0.387,0.092,Low,Rejected,Performing,0
CUST000056,22,Male,Single,Associate,Salaried,South,Tier2,Family,35559.0,2963.25,1485.82,10882.31,7315.72,23752.72,46,8.37,21,1,1,0.12,0,0,0,3,1.983,6409.84,148,0.869,0,0,1,45222.0,Poor,Complete,0.741,Rejected,848.0,Excellent,0.874,0.499,0.821,Critical,Rejected,At Risk,0
CUST000057,45,Male,Divorced,Bachelor,Contract,East,Tier3,Own,76914.0,6409.5,5224.68,23711.25,4718.87,27162.15,76,5.9,25,4,0,0.243,0,0,0,2,1.225,27334.65,38,0.764,1,0,0,0.0,Poor,Complete,0.905,Rejected,850.0,Excellent,0.415,0.185,0.167,Low,Rejected,Performing,0
CUST000058,27,Male,Married,Associate,Salaried,South,Tier2,Rent,89133.0,7427.75,4717.99,29194.13,49726.14,51969.2,63,8.91,22,5,4,0.433,1,0,0,0,1.571,39623.97,35,0.883,0,1,0,0.0,Good,Complete,0.496,Review,850.0,Excellent,1.141,0.365,0.502,High,Rejected,At Risk,0
CUST000059,54,Female,Single,Master,Unemployed,South,Tier1,Family,67632.0,5636.0,4216.32,10692.95,18935.43,28957.28,53,5.36,22,10,0,0.404,0,1,0,1,1.335,7880.41,75,0.586,0,1,0,0.0,Good,Complete,0.525,Review,827.0,Excellent,0.708,0.252,0.757,Critical,Rejected,At Risk,0
CUST000060,51,Female,Single,Bachelor,Unemployed,North,Tier1,Family,98828.0,8235.67,4947.34,33007.59,61853.32,74211.05,76,12.0,23,1,1,0.476,0,0,0,3,1.661,19909.22,19,0.745,0,0,1,174700.0,Good,Complete,0.54,Review,843.0,Excellent,1.377,0.399,0.909,Critical,Rejected,Defaulted,1
CUST000061,62,Female,Married,High School,Contract,West,Tier3,Own,82497.0,6874.75,4590.48,5238.67,18588.88,12977.22,69,8.62,20,3,1,0.455,0,0,0,0,1.495,5619.97,24,0.736,0,1,0,0.0,Good,Complete,0.491,Review,850.0,Excellent,0.383,0.332,0.235,Low,Rejected,Performing,0
CUST000062,54,Male,Married,High School,Salaried,South,Tier3,Rent,73822.0,6151.83,3692.79,8367.34,44847.33,13252.39,70,13.16,12,1,3,0.131,0,0,0,3,1.66,4696.37,111,0.691,1,0,0,0.0,Good,Complete,0.422,Review,827.0,Excellent,0.787,0.4,0.369,Medium,Rejected,Performing,0
CUST000063,37,Female,Married,High School,Salaried,West,Tier3,Own,59939.0,4994.92,2574.21,11220.11,23548.99,18157.64,25,8.31,11,8,3,0.224,0,0,0,2,1.934,8957.9,99,0.718,1,1,0,0.0,Good,Complete,0.494,Review,835.0,Excellent,0.696,0.485,0.105,Low,Rejected,Performing,0
CUST000064,64,Male,Single,High School,Contract,North,Tier3,Rent,28634.0,2386.17,1450.23,3878.26,6385.82,19282.8,20,7.3,3,6,4,0.622,0,0,0,0,1.637,3050.6,74,0.853,1,0,0,0.0,Good,Complete,0.55,Review,752.0,Very Good,0.896,0.392,0.47,Medium,Rejected,At Risk,0
CUST000065,39,Female,Married,Bachelor,Self-employed,South,Tier3,Own,60520.0,5043.33,4023.78,12734.75,38070.16,50885.76,44,5.66,13,8,3,0.11,1,0,0,3,1.252,11476.93,112,0.785,1,2,1,119659.0,Good,Complete,0.539,Review,781.0,Very Good,1.47,0.202,0.703,High,Rejected,At Risk,0
CUST000066,35,Female,Single,High School,Salaried,North,Tier3,Own,33151.0,2762.58,1776.71,4657.79,7474.11,15984.48,72,12.82,7,3,1,0.282,1,0,0,3,1.544,4143.6,56,0.705,0,0,1,25856.0,Good,Complete,0.542,Review,766.0,Very Good,0.708,0.357,0.724,High,Rejected,At Risk,0
CUST000067,61,Male,Single,Bachelor,Salaried,North,Tier2,Own,59971.0,4997.58,3728.43,8852.99,33254.32,40441.01,80,8.94,10,6,1,0.353,0,0,0,1,1.337,5688.9,56,0.629,1,0,1,91931.0,Good,Partial,0.811,Rejected,831.0,Excellent,1.229,0.254,0.533,High,Rejected,At Risk,0
CUST000068,37,Female,Married,Bachelor,Salaried,South,Tier2,Rent,18349.0,1529.08,880.49,1038.24,5083.91,2452.8,25,11.24,8,7,3,0.223,1,0,0,1,1.715,577.06,108,0.623,1,0,0,0.0,Good,Complete,0.779,Rejected,740.0,Very Good,0.411,0.424,0.673,High,Rejected,At Risk,0
CUST000069,24,Male,Single,High School,Self-employed,South,Tier3,Family,53920.0,4493.33,2619.91,12385.92,10293.45,45954.29,83,9.47,1,11,2,0.586,0,0,1,3,1.709,9339.24,90,0.379,1,0,1,83397.0,Good,Complete,0.405,Review,681.0,Good,1.043,0.417,0.978,Critical,Rejected,Defaulted,1
CUST000070,42,Male,Single,High School,Self-employed,North,Tier1,Rent,77797.0,6483.08,3069.18,3810.07,17024.79,55661.88,22,10.18,13,4,3,0.488,0,1,0,3,2.105,4173.21,108,0.613,1,0,1,120188.0,Poor,Complete,0.663,Rejected,804.0,Excellent,0.934,0.527,0.772,Critical,Rejected,At Risk,0
CUST000071,56,Female,Single,High School,Student,North,Tier2,Own,29617.0,2468.08,1345.17,10254.48,6980.37,25679.7,26,8.72,17,11,1,0.333,2,0,0,1,1.823,6787.48,128,0.803,0,0,1,33658.0,Good,Partial,0.929,Rejected,771.0,Very Good,1.103,0.455,0.98,Critical,Rejected,Defaulted,1
CUST000072,29,Female,Single,Bachelor,Self-employed,North,Tier2,Own,76414.0,6367.83,3940.71,4334.67,27202.2,60510.1,45,10.23,13,12,0,0.478,0,0,0,1,1.612,5085.26,42,0.797,1,1,0,0.0,Good,Complete,0.433,Review,832.0,Excellent,1.148,0.381,0.71,High,Rejected,At Risk,0
CUST000073,41,Male,Single,Bachelor,Student,West,Tier2,Family,40884.0,3407.0,1806.73,8636.86,9026.34,10561.35,77,11.3,20,5,1,0.27,0,0,0,1,1.874,5042.05,120,0.703,1,1,1,23280.0,Good,Complete,0.627,Review,850.0,Excellent,0.479,0.47,0.024,Low,Rejected,Performing,0
CUST000074,26,Female,Single,Associate,Salaried,South,Tier3,Rent,69065.0,5755.42,4661.99,20983.63,6441.61,9626.56,49,10.87,20,2,2,0.413,0,0,0,4,1.232,17723.33,131,0.5,0,0,0,0.0,Poor,Complete,0.605,Review,850.0,Excellent,0.233,0.19,0.084,Low,Rejected,Performing,0
CUST000075,51,Male,Married,High School,Contract,South,Tier3,Rent,55141.0,4595.08,3296.51,6700.1,21302.31,12095.56,14,13.29,4,4,1,0.439,2,0,0,1,1.388,9823.05,43,0.653,0,0,0,0.0,Poor,Complete,0.665,Rejected,777.0,Very Good,0.606,0.283,0.907,Critical,Rejected,Defaulted,1
CUST000076,42,Female,Married,Master,Contract,South,Tier2,Own,54879.0,4573.25,2793.14,3418.64,3115.26,34474.26,27,5.77,24,3,2,0.321,1,0,0,1,1.634,3018.22,58,0.753,0,1,1,42836.0,Good,Complete,0.633,Review,850.0,Excellent,0.685,0.389,0.471,Medium,Rejected,At Risk,0
CUST000077,35,Female,Single,Associate,Self-employed,North,Tier3,Own,104133.0,8677.75,5931.15,32529.73,43344.5,23745.11,43,13.35,28,12,4,0.221,1,0,0,2,1.46,30809.38,25,0.734,1,1,1,42734.0,Good,Complete,0.811,Rejected,850.0,Excellent,0.644,0.317,0.131,Low,Rejected,Performing,0
CUST000078,31,Male,Married,Bachelor,Self-employed,North,Tier2,Rent,82209.0,6850.75,5423.01,12981.53,17645.62,56046.06,75,6.61,9,4,1,0.105,0,0,0,0,1.262,17672.06,100,0.99,1,0,1,104242.0,Good,Complete,0.501,Review,801.0,Excellent,0.896,0.208,0.018,Low,Rejected,Performing,0
CUST000079,46,Female,Married,Associate,Salaried,North,Tier1,Rent,25830.0,2152.5,1259.77,4919.82,15068.46,23047.11,35,10.45,29,6,1,0.505,0,0,0,2,1.695,5973.47,107,0.758,1,0,0,0.0,Good,Complete,0.513,Review,850.0,Excellent,1.476,0.415,0.943,Critical,Rejected,Defaulted,1
CUST000080,51,Female,Single,High School,Salaried,West,Tier2,Rent,41000.0,3416.67,1971.2,8640.85,14029.99,30147.71,64,9.81,5,12,1,0.521,0,0,0,0,1.725,12696.22,131,0.632,0,0,1,37084.0,Good,Complete,0.351,Review,743.0,Very Good,1.078,0.423,0.294,Medium,Rejected,Performing,0
CUST000081,63,Female,Single,Bachelor,Self-employed,East,Tier1,Rent,47399.0,3949.92,2546.56,14247.67,20643.18,31486.49,26,14.3,26,7,2,0.208,1,0,1,3,1.542,14919.19,71,0.972,1,1,1,47617.0,Good,Complete,0.509,Review,825.0,Excellent,1.1,0.355,0.895,Critical,Rejected,Defaulted,1
CUST000082,40,Male,Single,Bachelor,Salaried,West,Tier2,Family,110045.0,9170.42,7051.47,13148.09,47037.86,8854.89,54,10.45,23,9,1,0.047,0,0,0,4,1.299,16174.11,51,0.677,1,0,0,0.0,Good,Complete,0.48,Review,850.0,Excellent,0.508,0.231,0.278,Medium,Rejected,Performing,0
